Organ System,Category,Drug,Recommendation,Quality of Evidence,Strength of Recommendation
Central nervous system,"Antidepressants, alone or in combination",Trimipramine,Avoid,High,Strong
Central nervous system,NA,"Antipsychotics, first (conventional) and second (atypical) generation","Avoid, except in schizophrenia or bipolar disorder, or for short‐term use as antiemetic during chemotherapy",Moderate,Strong
Central nervous system,Barbiturates,Amobarbital,Avoid,High,Strong
Central nervous system,Barbiturates,Butabarbital,Avoid,High,Strong
Central nervous system,Barbiturates,Butalbital,Avoid,High,Strong
Central nervous system,Barbiturates,Mephobarbital,Avoid,High,Strong
Central nervous system,Barbiturates,Pentobarbital,Avoid,High,Strong
Central nervous system,Barbiturates,Phenobarbital,Avoid,High,Strong
Central nervous system,Barbiturates,Secobarbital,Avoid,High,Strong
Central nervous system,Benzodiazepines,Short and intermediate acting:,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Alprazolam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Estazolam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Lorazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Oxazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Temazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Triazolam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Long acting:,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Chlordiazepoxide (alone or in combination with amitriptyline or clidinium),Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Clonazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Clorazepate,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Diazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Flurazepam,Avoid,Moderate,Strong
Central nervous system,Benzodiazepines,Quazepam,Avoid,Moderate,Strong
Central nervous system,NA,Meprobamate,Avoid,Moderate,Strong
Central nervous system,"Nonbenzodiazepine, benzodiazepine receptor agonist hypnotics (ie, “Z‐drugs”)",Eszopiclone,Avoid,Moderate,Strong
Central nervous system,"Nonbenzodiazepine, benzodiazepine receptor agonist hypnotics (ie, “Z‐drugs”)",Zaleplon,Avoid,Moderate,Strong
Central nervous system,"Nonbenzodiazepine, benzodiazepine receptor agonist hypnotics (ie, “Z‐drugs”)",Zolpidem,Avoid,Moderate,Strong
Central nervous system,Ergoloid mesylates,(dehydrogenated ergot alkaloids),Avoid,High,Strong
Central nervous system,Ergoloid mesylates,Isoxsuprine,Avoid,High,Strong
Endocrine,Androgens,Methyltestosterone,Avoid unless indicated for confirmed hypogonadism with clinical symptoms,Moderate,Weak
Endocrine,Androgens,Testosterone,Avoid unless indicated for confirmed hypogonadism with clinical symptoms,Moderate,Weak
Endocrine,NA,Desiccated thyroid,Avoid,Low,Strong
Endocrine,NA,Estrogens with or without progestins,"Avoid systemic estrogen (eg, oral and topical patch)
Vaginal cream or vaginal tablets: acceptable to use low‐dose intravaginal estrogen for management of dyspareunia, recurrent lower urinary tract infections, and other vaginal symptoms
","Oral and patch: high
Vaginal cream or vaginal tablets: moderate
","Oral and patch: strong
Topical vaginal cream or tablets: weak
"
Endocrine,NA,Growth hormone,"Avoid, except for patients rigorously diagnosed by evidence‐based criteria with growth hormone deficiency due to an established etiology",High,Strong
Endocrine,NA,"Insulin, sliding scale (insulin regimens containing only short‐ or rapid‐acting insulin dosed according to current blood glucose levels without concurrent use of basal or long‐acting insulin)",Avoid,Moderate,Strong
Endocrine,NA,Megestrol,Avoid,Moderate,Strong
Endocrine,"Sulfonylureas, long acting",Chlorpropamide,Avoid,High,Strong
Endocrine,"Sulfonylureas, long acting",Glimepiride,Avoid,High,Strong
Endocrine,"Sulfonylureas, long acting",Glyburide (also known as glibenclamide),Avoid,High,Strong
Gastrointestinal,NA,Metoclopramide,"Avoid, unless for gastroparesis with duration of use not to exceed 12 weeks except in rare cases",Moderate,Strong
Gastrointestinal,NA,"Mineral oil, given orally",Avoid,Moderate,Strong
Gastrointestinal,NA,Proton‐pump inhibitors,"Avoid scheduled use for >8 weeks unless for high‐risk patients (eg, oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett esophagitis, pathological hypersecretory condition, or demonstrated need for maintenance treatment (eg, because of failure of drug discontinuation trial or H2‐receptor antagonists)",High,Strong
Pain medications,NA,Meperidine,Avoid,Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Aspirin >325 mg/day,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Diclofenac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Diflunisal,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Etodolac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Fenoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Ibuprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Ketoprofen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Meclofenamate,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Mefenamic acid,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Meloxicam,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Nabumetone,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Naproxen,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Oxaprozin,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Piroxicam,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Sulindac,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,"Non–cyclooxygenase‐selective NSAIDs, oral:",Tolmetin,"Avoid chronic use, unless other alternatives are not effective and patient can take gastroprotective agent (proton‐pump inhibitor or misoprostol)",Moderate,Strong
Pain medications,Indomethacin,"Ketorolac, includes parenteral",Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Carisoprodol,Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Chlorzoxazone,Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Cyclobenzaprine,Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Metaxalone,Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Methocarbamol,Avoid,Moderate,Strong
Pain medications,Skeletal muscle relaxants,Orphenadrine,Avoid,Moderate,Strong
Genitourinary,NA,Desmopressin,Avoid for treatment of nocturia or nocturnal polyuria,Moderate,Strong
