"goHallmarkId","goHallmark","goHallmarkTerm","goId","goTerm"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002084","protein depalmitoylation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002203","proteolysis by cytosolic proteases associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002496","proteolysis associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002497","proteasomal proteolysis associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002498","proteolysis within endoplasmic reticulum associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002499","proteolysis within endosome associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002500","proteolysis within lysosome associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002628","regulation of proteolysis associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002629","negative regulation of proteolysis associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0002630","positive regulation of proteolysis associated with antigen processing and presentation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0006058","mannoprotein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0006511","ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins"
"GO:0030163","Proteostasis","protein catabolic process","GO:0006516","glycoprotein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0007039","protein catabolic process in the vacuole"
"GO:0030163","Proteostasis","protein catabolic process","GO:0007174","epidermal growth factor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010304","PSII associated light-harvesting complex II catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010498","proteasomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010499","proteasomal ubiquitin-independent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010550","regulation of PSII associated light-harvesting complex II catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010620","negative regulation of transcription by transcription factor catabolism"
"GO:0030163","Proteostasis","protein catabolic process","GO:0010798","regulation of multivesicular body size involved in ubiquitin-dependent protein catabolism"
"GO:0030163","Proteostasis","protein catabolic process","GO:0016598","protein arginylation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0019941","modification-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0019950","SMT3-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0019951","Smt3-protein conjugation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030164","protein denaturation"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030167","proteoglycan catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030200","heparan sulfate proteoglycan catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030327","prenylated protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030433","ubiquitin-dependent ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030579","ubiquitin-dependent SMAD protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0030970","retrograde protein transport, ER to cytosol"
"GO:0030163","Proteostasis","protein catabolic process","GO:0031145","anaphase-promoting complex-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032802","low-density lipoprotein particle receptor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032803","regulation of low-density lipoprotein particle receptor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032804","negative regulation of low-density lipoprotein particle receptor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0032805","positive regulation of low-density lipoprotein particle receptor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0035694","mitochondrial protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0035977","protein deglycosylation involved in glycoprotein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0036205","histone catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0036369","transcription factor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0036503","ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0042159","lipoprotein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0042176","regulation of protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0042177","negative regulation of protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0042540","hemoglobin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0044257","cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0045173","O-sialoglycoprotein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0045732","positive regulation of protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0046155","rhodopsin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0051043","regulation of membrane protein ectodomain proteolysis"
"GO:0030163","Proteostasis","protein catabolic process","GO:0051044","positive regulation of membrane protein ectodomain proteolysis"
"GO:0030163","Proteostasis","protein catabolic process","GO:0051045","negative regulation of membrane protein ectodomain proteolysis"
"GO:0030163","Proteostasis","protein catabolic process","GO:0051190","prosthetic group catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0051603","proteolysis involved in cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0052014","catabolism by symbiont of host protein"
"GO:0030163","Proteostasis","protein catabolic process","GO:0052362","catabolism by host of symbiont protein"
"GO:0030163","Proteostasis","protein catabolic process","GO:0052363","catabolism by organism of protein in other organism involved in symbiotic interaction"
"GO:0030163","Proteostasis","protein catabolic process","GO:0060309","elastin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0060310","regulation of elastin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0060311","negative regulation of elastin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0061136","regulation of proteasomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0061684","chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:0061740","protein targeting to lysosome involved in chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:0061741","chaperone-mediated protein transport involved in chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:0062025","regulation of SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0062026","negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0062027","positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0070407","oxidation-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0071596","ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system"
"GO:0030163","Proteostasis","protein catabolic process","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system"
"GO:0030163","Proteostasis","protein catabolic process","GO:0071712","ER-associated misfolded protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0071947","protein deubiquitination involved in ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0072671","mitochondria-associated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0090611","ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0097466","ubiquitin-dependent glycoprotein ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0099546","protein catabolic process, modulating synaptic transmission"
"GO:0030163","Proteostasis","protein catabolic process","GO:0099575","regulation of protein catabolic process at presynapse, modulating synaptic transmission"
"GO:0030163","Proteostasis","protein catabolic process","GO:0099576","regulation of protein catabolic process at postsynapse, modulating synaptic transmission"
"GO:0030163","Proteostasis","protein catabolic process","GO:0110015","positive regulation of elastin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:0120174","stress-induced homeostatically regulated protein degradation pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:0140246","protein catabolic process at synapse"
"GO:0030163","Proteostasis","protein catabolic process","GO:0140247","protein catabolic process at presynapse"
"GO:0030163","Proteostasis","protein catabolic process","GO:0140249","protein catabolic process at postsynapse"
"GO:0030163","Proteostasis","protein catabolic process","GO:0140455","cytoplasm protein quality control"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901044","protein polyubiquitination involved in nucleus-associated proteasomal ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901143","insulin catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901483","regulation of transcription factor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901484","negative regulation of transcription factor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901485","positive regulation of transcription factor catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901799","negative regulation of proteasomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1901800","positive regulation of proteasomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1902885","regulation of proteasome-activating ATPase activity"
"GO:0030163","Proteostasis","protein catabolic process","GO:1902886","negative regulation of proteasome-activating ATPase activity"
"GO:0030163","Proteostasis","protein catabolic process","GO:1902887","positive regulation of proteasome-activating ATPase activity"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903051","negative regulation of proteolysis involved in cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903069","regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903070","negative regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903071","positive regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903362","regulation of cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903363","negative regulation of cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1903364","positive regulation of cellular protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904152","regulation of retrograde protein transport, ER to cytosol"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904153","negative regulation of retrograde protein transport, ER to cytosol"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904154","positive regulation of retrograde protein transport, ER to cytosol"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904211","membrane protein proteolysis involved in retrograde protein transport, ER to cytosol"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904292","regulation of ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904293","negative regulation of ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904294","positive regulation of ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904350","regulation of protein catabolic process in the vacuole"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904351","negative regulation of protein catabolic process in the vacuole"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904352","positive regulation of protein catabolic process in the vacuole"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904378","maintenance of unfolded protein involved in ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904379","protein localization to cytosolic proteasome complex involved in ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904382","mannose trimming involved in glycoprotein ERAD pathway"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904714","regulation of chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904715","negative regulation of chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904716","positive regulation of chaperone-mediated autophagy"
"GO:0030163","Proteostasis","protein catabolic process","GO:1904763","chaperone-mediated autophagy translocation complex assembly"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905146","lysosomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905165","regulation of lysosomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905166","negative regulation of lysosomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905167","positive regulation of lysosomal protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905784","regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905785","negative regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1905786","positive regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1990116","ribosome-associated ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:1990697","protein depalmitoleylation"
"GO:0030163","Proteostasis","protein catabolic process","GO:2000058","regulation of ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process"
"GO:0030163","Proteostasis","protein catabolic process","GO:2000777","positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0010499","proteasomal ubiquitin-independent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0010620","negative regulation of transcription by transcription factor catabolism"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0030433","ubiquitin-dependent ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0030970","retrograde protein transport, ER to cytosol"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0031145","anaphase-promoting complex-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0031146","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0036369","transcription factor catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0036503","ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0061136","regulation of proteasomal protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0062025","regulation of SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0062026","negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0062027","positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0071596","ubiquitin-dependent protein catabolic process via the N-end rule pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0071629","cytoplasm protein quality control by the ubiquitin-proteasome system"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0071630","nuclear protein quality control by the ubiquitin-proteasome system"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0071712","ER-associated misfolded protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0072671","mitochondria-associated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0097466","ubiquitin-dependent glycoprotein ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:0120174","stress-induced homeostatically regulated protein degradation pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901044","protein polyubiquitination involved in nucleus-associated proteasomal ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901483","regulation of transcription factor catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901484","negative regulation of transcription factor catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901485","positive regulation of transcription factor catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901799","negative regulation of proteasomal protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1901800","positive regulation of proteasomal protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1902885","regulation of proteasome-activating ATPase activity"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1902886","negative regulation of proteasome-activating ATPase activity"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1902887","positive regulation of proteasome-activating ATPase activity"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1903069","regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1903070","negative regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1903071","positive regulation of ER-associated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904152","regulation of retrograde protein transport, ER to cytosol"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904153","negative regulation of retrograde protein transport, ER to cytosol"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904154","positive regulation of retrograde protein transport, ER to cytosol"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904211","membrane protein proteolysis involved in retrograde protein transport, ER to cytosol"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904292","regulation of ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904293","negative regulation of ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904294","positive regulation of ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904378","maintenance of unfolded protein involved in ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904379","protein localization to cytosolic proteasome complex involved in ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1904382","mannose trimming involved in glycoprotein ERAD pathway"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1905784","regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1905785","negative regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1905786","positive regulation of anaphase-promoting complex-dependent catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:1990116","ribosome-associated ubiquitin-dependent protein catabolic process"
"GO:0010498","Proteostasis","proteasomal degradation","GO:2000777","positive regulation of proteasomal ubiquitin-dependent protein catabolic process involved in cellular response to hypoxia"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:0061740","protein targeting to lysosome involved in chaperone-mediated autophagy"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:0061741","chaperone-mediated protein transport involved in chaperone-mediated autophagy"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:1904714","regulation of chaperone-mediated autophagy"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:1904715","negative regulation of chaperone-mediated autophagy"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:1904716","positive regulation of chaperone-mediated autophagy"
"GO:0061684","Proteostasis","chaperone-mediated autophagy","GO:1904763","chaperone-mediated autophagy translocation complex assembly"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:0051085","chaperone cofactor-dependent protein refolding"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:0051086","chaperone mediated protein folding independent of cofactor"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:0061992","ATP-dependent chaperone mediated protein folding"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:1903644","regulation of chaperone-mediated protein folding"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:1903645","negative regulation of chaperone-mediated protein folding"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:1903646","positive regulation of chaperone-mediated protein folding"
"GO:0061077","Proteostasis","chaperone-mediated protein folding","GO:1990507","ATP-independent chaperone mediated protein folding"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0000722","telomere maintenance via recombination"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0007004","telomere maintenance via telomerase"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0010833","telomere maintenance via telomere lengthening"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0016233","telomere capping"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0031627","telomeric loop formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0031848","protection from non-homologous end joining at telomere"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0031860","telomeric 3' overhang formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032201","telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032204","regulation of telomere maintenance"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032205","negative regulation of telomere maintenance"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032206","positive regulation of telomere maintenance"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032207","regulation of telomere maintenance via recombination"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032208","negative regulation of telomere maintenance via recombination"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032209","positive regulation of telomere maintenance via recombination"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032210","regulation of telomere maintenance via telomerase"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032211","negative regulation of telomere maintenance via telomerase"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032212","positive regulation of telomere maintenance via telomerase"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032213","regulation of telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032214","negative regulation of telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0032215","positive regulation of telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0043247","telomere maintenance in response to DNA damage"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0061819","telomeric DNA-containing double minutes formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0061820","telomeric D-loop disassembly"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0090656","t-circle formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0090657","telomeric loop disassembly"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0090737","telomere maintenance via telomere trimming"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:0097698","telomere maintenance via base-excision repair"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1902989","meiotic telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1902990","mitotic telomere maintenance via semi-conservative replication"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904353","regulation of telomere capping"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904354","negative regulation of telomere capping"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904355","positive regulation of telomere capping"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904356","regulation of telomere maintenance via telomere lengthening"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904357","negative regulation of telomere maintenance via telomere lengthening"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904358","positive regulation of telomere maintenance via telomere lengthening"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904418","regulation of telomeric loop formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904419","negative regulation of telomeric loop formation"
"GO:0000723","Telomere maintenance","telomere maintenance","GO:1904420","positive regulation of telomeric loop formation"
