morbidity,diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,therapeuticAreas,description
chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,MONDO_0000923,interstitial emphysema,['OTAR_0000010'],"Pathologic accumulation of air in the interstitium of the lungs, which is caused by the rupture of alveoli and terminal bronchioles, and is most often seen in premature infants that need mechanical ventilation for respiratory distress syndrome."
chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,EFO_0006505,chronic bronchitis,['OTAR_0000010'],"A type of chronic obstructive pulmonary disease characterized by chronic inflammation in the bronchial tree that results in edema, mucus production, obstruction, and reduced airflow to and from the lung alveoli. The most common cause is tobacco smoking. Signs and symptoms include coughing with excessive mucus production, and shortness of breath."
chronic obstructive pulmonary disease,EFO_0000341,chronic obstructive pulmonary disease,MONDO_0000924,compensatory emphysema,['OTAR_0000010'],
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_0009909,stage 5 chronic kidney disease,['EFO_0009690'],A degree of kidney failure severe enough to require dialysis or kidney transplantation for survival characterized by a severe reduction in glomerular filtration rate (less than 15 ml/min/1.73 m2) and other manifestations including increased serum creatinine.
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_0000401,diabetic nephropathy,"['MONDO_0024297', 'EFO_0009690']","Progressive kidney disorder caused by vascular damage to the glomerular capillaries, in patients with diabetes mellitus. It is usually manifested with nephritic syndrome and glomerulosclerosis."
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_0004997,type 2 diabetes nephropathy,"['MONDO_0024297', 'EFO_0009690']","Diabetic nephropathy is a progressive kidney disease caused by angiopathy of capillaries in the kidney glomeruli. In type 2 diabetes hyperglycaemia starts after the forties, usually when the kidneys have already suffered the long‐term consequences of ageing and of other recognized promoters of chronic renal injury such as arterial hypertension, obesity, dyslipidaemia, and smoking."
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_0004996,type 1 diabetes nephropathy,"['MONDO_0024297', 'EFO_0000540', 'EFO_0009690']",Diabetic nephropathy is a progressive kidney disease caused by angiopathy of capillaries in the kidney glomeruli. In type 1 diabetes hyperglycaemia starts in the first decades of life and is usually the only recognized cause of nephropathy.
chronic kidney disease,EFO_0003884,chronic kidney disease,EFO_1001244,xanthogranulomatous pyelonephritis,"['OTAR_0000017', 'EFO_0005741', 'EFO_0009690']","A chronic inflammatory condition of the KIDNEY resulting in diffuse renal destruction, a grossly enlarged and nonfunctioning kidney associated with NEPHROLITHIASIS and KIDNEY STONES."
chronic kidney disease,EFO_0003884,chronic kidney disease,MONDO_0001583,diabetic polyneuropathy,"['MONDO_0024297', 'EFO_0009690', 'EFO_0000618']",
chronic kidney disease,EFO_0003884,chronic kidney disease,MONDO_0001110,chronic pyelonephritis,"['OTAR_0000017', 'EFO_0005741', 'EFO_0009690']",Persistent pyelonephritis.
osteoarthritis,EFO_0002506,osteoarthritis,EFO_0004616,"osteoarthritis, knee",['OTAR_0000006'],Knee osteoarthritis is a degenerative disease of the knee joint
osteoarthritis,EFO_0002506,osteoarthritis,EFO_1000789,"osteoarthritis, hand",['OTAR_0000006'],"Osteoarthritis of the hands usually happens as part of nodal osteoarthritis (a form of osteoarthritis that runs in families). This mainly affects women and often starts in your 40s or 50s, around the menopause (the time when menstruation ends and it’s no longer possible to have children)."
osteoarthritis,EFO_0002506,osteoarthritis,EFO_1000786,"osteoarthritis, hip",['OTAR_0000006'],"Osteoarthritis of the hip is also very common and can affect either one or both hips.
You’re most likely to feel pain deep at the front of your groin, but also at the side and front of your thigh, in your buttock or down to your knee (this is called radiated pain).
If you have severe hip osteoarthritis, you may find your affected leg seems a little shorter than the other because of the bone on either side of your joint being crunched up."
osteoarthritis,EFO_0002506,osteoarthritis,EFO_1000787,"osteoarthritis, spine",['OTAR_0000006'],"Changes that affect the bones of your spine and the discs between the bones are often called spondylosis, but they’re very similar to the changes caused by osteoarthritis in other joints. X-rays show that spondylosis is extremely common, but it’s not the most common cause of back pain or neck pain and often doesn’t cause any problems at all."
osteoarthritis,EFO_0002506,osteoarthritis,EFO_1000788,"osteoarthritis, toe",['OTAR_0000006'],"Osteoarthritis of the foot generally affects the joint at the base of your big toe. It can cause your toe to:
- become stiff over time, which can make it difficult and painful to walk – this is called hallux rigidus
- become bent, which can lead to painful bunions (bony lumps at the base of your big toe) – this is called hallux valgus.

Osteoarthritis of the mid-foot is also quite common, especially in older people, and may cause an obvious bony swelling (osteophyte) on the top of your mid-foot.

Ankle osteoarthritis is least common and may cause your heel to move to an unusual angle."
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0003778,psoriatic arthritis,"['OTAR_0000006', 'EFO_0000540']","A type of inflammatory arthritis associated with PSORIASIS, often involving the axial joints and the peripheral terminal interphalangeal joints. It is characterized by the presence of HLA-B27-associated SPONDYLARTHROPATHY, and the absence of rheumatoid factor."
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0003898,ankylosing spondylitis,"['OTAR_0000006', 'EFO_0000540']",An autoimmune chronic inflammatory disorder characterized by inflammation in the vertebral joints of the spine and sacroiliac joints. It predominantly affects young males. Patients present with stiffness and pain in the spine.
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0009733,psoriasis-related juvenile idiopathic arthritis,"['OTAR_0000006', 'EFO_0000540']",A form of juvenile idiopathic arthritis that is related to psoriasis.
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0007269,Felty's syndrome,"['OTAR_0000006', 'EFO_0000540', 'EFO_0005803']","Felty syndrome (FS), also known as ''super rheumatoid'' disease, is a severe form of rheumatoid arthritis (RA), characterized by a triad of RA, splenomegaly and neutropenia, resulting in susceptibility to bacterial infections."
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0009459,ACPA-positive rheumatoid arthritis,"['OTAR_0000006', 'EFO_0000540']",A subtype of rheumatoid arthritis defined by the presence of autoantibodies that are directed against citrullinated peptides and proteins.
rheumatoid arthritis,EFO_0000685,rheumatoid arthritis,EFO_0009460,ACPA-negative rheumatoid arthritis,"['OTAR_0000006', 'EFO_0000540']",A subtype of rheumatoid arthritis defined by the absence of autoantibodies that are directed against citrullinated peptides and proteins.
heart disease,EFO_0003777,heart disease,EFO_0009094,idiopathic dilated cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Decreased function of the heart associated with cardiac enlargement and congestive heart failure, of unknown cause."
heart disease,EFO_0003777,heart disease,HP_0004763,Paroxysmal supraventricular tachycardia,"['EFO_0000651', 'OTAR_0000010', 'EFO_0000319']",An episodic form of supraventricular tachycardia with abrupt onset and termination.
heart disease,EFO_0003777,heart disease,EFO_1000801,alcoholic cardiomyopathy,"['MONDO_0002025', 'OTAR_0000006', 'OTAR_0000010', 'EFO_0000618', 'EFO_0000319']",A dilated cardiomyopathy which is associated with consumption of large amounts of alcohol over a period of years.
heart disease,EFO_0003777,heart disease,EFO_0000275,atrial fibrillation,"['OTAR_0000010', 'EFO_0000319']","Abnormal cardiac rhythm that is characterized by rapid, uncoordinated firing of electrical impulses in the upper chambers of the heart (HEART ATRIA). In such case, blood cannot be effectively pumped into the lower chambers of the heart (HEART VENTRICLES). It is caused by abnormal impulse generation."
heart disease,EFO_0003777,heart disease,EFO_1000819,arteriolosclerosis,"['OTAR_0000010', 'EFO_0000319']",The thickening of the wall of the small arteries and arterioles. It is caused by deposition of hyaline material in the wall or concentric smooth muscle wall hypertrophy. It results in lumen narrowing and tissue ischemia.
heart disease,EFO_0003777,heart disease,MONDO_0004596,cor pulmonale,"['OTAR_0000010', 'EFO_0000319']","Hypertrophy and dilation of the right ventricle of the heart that is caused by pulmonary hypertension. This condition is often associated with pulmonary parenchymal or vascular diseases, such as chronic obstructive pulmonary disease and pulmonary embolism."
heart disease,EFO_0003777,heart disease,EFO_1000815,aortic valve prolapse,"['OTAR_0000010', 'EFO_0000319']","The downward displacement of the cuspal or pointed end of the trileaflet AORTIC VALVE causing misalignment of the cusps. Severe valve distortion can cause leakage and allow the backflow of blood from the ASCENDING AORTA back into the LEFT VENTRICLE, leading to aortic regurgitation."
heart disease,EFO_0003777,heart disease,MONDO_0016338,non-familial dilated cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",
heart disease,EFO_0003777,heart disease,EFO_0000266,aortic stenosis,"['OTAR_0000010', 'EFO_0000319']","In the same amount or manner; to the same degree; in the role, function, or capacity of."
heart disease,EFO_0003777,heart disease,EFO_1000812,anterolateral myocardial infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",Myocardial infarction in which the anterior wall of the heart is involved. Anterior wall myocardial infarction is often caused by occlusion of the left anterior descending coronary artery. It can be categorized as anteroseptal or anterolateral wall myocardial infarction.
heart disease,EFO_0003777,heart disease,HP_0004755,Supraventricular tachycardia,"['EFO_0000651', 'OTAR_0000010', 'EFO_0000319']",Supraventricular tachycardia (SVT) is an abnormally increased heart rate (over 100 beats per minute at rest) with origin above the level of the ventricles.
heart disease,EFO_0003777,heart disease,MONDO_0016330,non-familial hypertrophic cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",An instance of hypertrophic cardiomyopathy that is acquired during the lifetime of the individual.
heart disease,EFO_0003777,heart disease,MONDO_0004582,rheumatic myocarditis,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000540', 'EFO_0000319']",Inflammation of the myocardium in acute rheumatic heart disease.
heart disease,EFO_0003777,heart disease,EFO_1000820,arteriosclerosis obliterans,"['OTAR_0000010', 'EFO_0000319']","Common occlusive arterial disease which is caused by ATHEROSCLEROSIS. It is characterized by lesions in the innermost layer (ARTERIAL INTIMA) of arteries including the AORTA and its branches to the extremities. Risk factors include smoking, HYPERLIPIDEMIA, and HYPERTENSION."
heart disease,EFO_0003777,heart disease,EFO_1000959,heart aneurysm,"['OTAR_0000010', 'EFO_0000319']","A localized bulging or dilatation in the muscle wall of a heart (MYOCARDIUM), usually in the LEFT VENTRICLE. Blood-filled aneurysms are dangerous because they may burst. Fibrous aneurysms interfere with the heart function through the loss of contractility. True aneurysm is bound by the vessel wall or cardiac wall. False aneurysms are HEMATOMA caused by myocardial rupture."
heart disease,EFO_0003777,heart disease,EFO_0004889,postoperative ventricular dysfunction,"['OTAR_0000010', 'EFO_0000319']",Postoperative ventricular dysfunction (VnD) occurs in 9-20% of coronary artery bypass graft (CABG) surgical patients and is associated with increased postoperative morbidity and mortality.
heart disease,EFO_0003777,heart disease,EFO_1000830,bacterial endocarditis,"['EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","Inflammation of the ENDOCARDIUM caused by BACTERIA that entered the bloodstream. The strains of bacteria vary with predisposing factors, such as CONGENITAL HEART DEFECTS; HEART VALVE DISEASES; HEART VALVE PROSTHESIS IMPLANTATION; or intravenous drug use."
heart disease,EFO_0003777,heart disease,EFO_0004686,non-compaction cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","Left ventricular non-compaction (LVNC) is characterized by prominent left ventricular trabeculae and deep inter-trabecular recesses. The myocardial wall is often thickened with a thin, compacted epicardial layer and a thickened endocardial layer. In some patients, LVNC is associated with left ventricular dilatation and systolic dysfunction, which can be transient in neonates."
heart disease,EFO_0003777,heart disease,EFO_0005529,Chagas cardiomyopathy,"['OTAR_0000006', 'EFO_0005741', 'OTAR_0000010', 'EFO_0000319']","A disease of the cardiac muscle developed subsequent to the initial protozoan infection by trypanosoma cruzi. After infection, less than 10% develop acute illness such as myocarditis (mostly in children). The disease then enters a latent phase without clinical symptoms until about 20 years later. Myocardial symptoms of advanced chagas disease include conduction defects (heart block) and cardiomegaly."
heart disease,EFO_0003777,heart disease,EFO_0005672,acute coronary syndrome,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",Signs and symptoms related to acute ischemia of the myocardium secondary to coronary artery disease. The clinical presentation covers a spectrum of heart diseases from unstable angina to myocardial infarction.
heart disease,EFO_0003777,heart disease,EFO_0004224,Coronary Restenosis,"['OTAR_0000010', 'EFO_0000319']",Recurrent narrowing or constriction of a coronary artery following surgical procedures performed to alleviate a prior obstruction.
heart disease,EFO_0003777,heart disease,EFO_1000983,inferior myocardial infarction,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",Myocardial infarction in which the inferior wall of the heart is involved. It is often caused by occlusion of the right coronary artery.
heart disease,EFO_0003777,heart disease,EFO_1000985,intermediate coronary syndrome,"['OTAR_0000010', 'EFO_0000319']","Angina pectoris (or equivalent type of ischemic discomfort) which has recently changed in frequency, duration, intensity, or occurs at rest."
heart disease,EFO_0003777,heart disease,EFO_0005305,atrioventricular node disease,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']",atrioventricular node disease is a form of heart disease in which the conduction of the atrioventricular nodes is disrupted
heart disease,EFO_0003777,heart disease,EFO_0005306,ventricular tachycardia,"['OTAR_0000010', 'EFO_0000319']",A disorder characterized by an electrocardiographic finding of three or more consecutive complexes of ventricular origin with a rate greater than a certain threshold (100 or 120 beats per minute are commonly used). The QRS complexes are wide and have an abnormal morphology. (CDISC)
heart disease,EFO_0003777,heart disease,EFO_0005307,torsades de pointes,"['OTAR_0000010', 'EFO_0000319']","A type of ventricular tachycardia characterized by polymorphioc QRS complexes that change in amplitue and cycle length, and thus have the appearance of oscillating around the baseline in the EKG."
heart disease,EFO_0003777,heart disease,EFO_0005308,atrial tachycardia,"['OTAR_0000010', 'EFO_0000319']","A disorder characterized by an electrocardiographic finding of an organized, regular atrial rhythm with atrial rate between 101 and 240 beats per minute. The P wave morphology must be distinct from the sinus P wave morphology. (CDISC)"
heart disease,EFO_0003777,heart disease,EFO_1000878,constrictive pericarditis,"['OTAR_0000010', 'EFO_0000319']","Inflammation of the PERICARDIUM that is characterized by the fibrous scarring and adhesion of both serous layers, the VISCERAL PERICARDIUM and the PARIETAL PERICARDIUM leading to the loss of pericardial cavity. The thickened pericardium severely restricts cardiac filling. Clinical signs include FATIGUE, muscle wasting, and WEIGHT LOSS."
heart disease,EFO_0003777,heart disease,EFO_1001843,sinoatrial nodal reentry tachycardia,"['OTAR_0000010', 'EFO_0000319']",Abnormally rapid heartbeats caused by reentry circuit in or around the SINOATRIAL NODE. It is characterized by sudden onset and offset episodes of tachycardia with a HEART RATE of 100-150 beats per minute. The P wave is identical to the sinus P wave but with a longer PR interval.
heart disease,EFO_0003777,heart disease,MONDO_0020575,polymorphic ventricular tachycardia,"['OTAR_0000010', 'EFO_0000319']",A ventricular tachycardia that is irregular in rate and rhythm.
heart disease,EFO_0003777,heart disease,EFO_0009492,cardiac arrest,"['OTAR_0000010', 'EFO_0000319']",Cessation of breathing and/or cardiac function.
heart disease,EFO_0003777,heart disease,MONDO_0001370,pericardial effusion (disease),"['OTAR_0000010', 'EFO_0000319']","Fluid collection within the pericardial sac, usually due to inflammation."
heart disease,EFO_0003777,heart disease,EFO_0009493,paroxysmal tachycardia,"['OTAR_0000010', 'EFO_0000319']",A form of tachycardia which begins and ends in an acute (or paroxysmal) manner.
heart disease,EFO_0003777,heart disease,MONDO_0001493,chronic pulmonary heart disease,"['OTAR_0000010', 'EFO_0000319']",Heart disease which occurs as a result of a primary pulmonary disease. Cor pulmonale most often manifests as right ventricular hypertrophy; it can also lead to right ventricular failure.
heart disease,EFO_0003777,heart disease,MONDO_0021661,coronary atherosclerosis,"['OTAR_0000010', 'EFO_0000319']",Atherosclerosis of the coronary vasculature.
heart disease,EFO_0003777,heart disease,MONDO_0022519,autoimmune myocarditis,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000540', 'EFO_0000319']","Autoimmune myocarditis is an autoimmune disease that affects the heart. The condition is characterized by inflammation of the heart muscle (myocardium). Some people with autoimmune myocarditis have no noticeable symptoms of the condition. When present, signs and symptoms may include chest pain, abnormal heartbeat, shortness of breath, fatigue, signs of infection (i.e. fever, headache, sore throat, diarrhea), and leg swelling. The exact underlying cause of the condition is currently unknown; however, autoimmune conditions, in general, occur when the immune system mistakenly attacks healthy tissue. Treatment is based on the signs and symptoms present in each person. In some cases, medications that suppress the immune system may be recommended."
heart disease,EFO_0003777,heart disease,EFO_0001645,coronary artery disease,"['OTAR_0000010', 'EFO_0000319']",Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC)
heart disease,EFO_0003777,heart disease,EFO_0000318,cardiomyopathy,"['OTAR_0000006', 'OTAR_0000010', 'EFO_0000319']","A disease of the heart muscle or myocardium proper. Cardiomyopathies may be classified as either primary or secondary, on the basis of etiology, or on the pathophysiology of the lesion: hypertrophic, dilated, or restrictive."
heart disease,EFO_0003777,heart disease,EFO_1000881,coronary aneurysm,"['OTAR_0000010', 'EFO_0000319']","Abnormal balloon- or sac-like dilatation in the wall of coronary vessels. Most coronary aneurysms are due to coronary atherosclerosis, and the rest are due to inflammatory diseases, such as kawasaki disease."
heart disease,EFO_0003777,heart disease,EFO_1000882,coronary stenosis,"['OTAR_0000010', 'EFO_0000319']",Narrowing or constriction of a coronary artery.
heart disease,EFO_0003777,heart disease,EFO_1000883,coronary thrombosis,"['OTAR_0000010', 'EFO_0000319']",Coagulation of blood in any of the coronary vessels. The presence of a blood clot (thrombus) often leads to myocardial infarction.
heart disease,EFO_0003777,heart disease,EFO_1000899,diastolic heart failure,"['OTAR_0000010', 'EFO_0000319']",Heart failure caused by abnormal myocardial relaxation during DIASTOLE leading to defective cardiac filling.
heart disease,EFO_0003777,heart disease,EFO_0009277,supraventricular ectopy,"['OTAR_0000010', 'EFO_0000319']",A type of cardiac arrhythmia with premature atrial contractions or beats caused by signals originating from ectopic atrial sites.
heart disease,EFO_0003777,heart disease,EFO_0009276,ventricular ectopy,"['OTAR_0000010', 'EFO_0000319']",A type of cardiac arrhythmia with premature ventricular contractions or beats caused by signals originating from ectopic sites.
heart disease,EFO_0003777,heart disease,EFO_0009275,premature cardiac contractions,"['OTAR_0000010', 'EFO_0000319']",A type of cardiac arrythmia with ventricular or atrial contractions that are initiated early by an ectopic site (outside of the sinoatrial node).
