Disease1,Disease2,Description1,Description2,I1,I2,C12,C12simultaneous,RR,p_value,Category1,Category2,Direction,N1,N2,P1_direction,P2_direction
I08,N18,I08 Multiple valve diseases,N18 Chronic renal failure,3034,9082,483,87,7.19190868,1.59E-14,Cardiovascular,Urinary,0,195,201,0.99999107,0.999907819
I08,I46,I08 Multiple valve diseases,I46 Cardiac arrest,3034,1626,137,47,11.39406144,0,Cardiovascular,Cardiovascular,0,55,35,0.991783869,0.999999999
I08,I34,I08 Multiple valve diseases,I34 Nonrheumatic mitral valve disorders,3034,3730,566,32,20.52041457,3.55E-15,Cardiovascular,Cardiovascular,0,211,323,1,0.000441215
I08,I10,I08 Multiple valve diseases,I10 Essential (primary) hypertension,3034,112927,2103,332,2.518372758,5.55E-15,Cardiovascular,Cardiovascular,-1,341,1430,1,1.06E-62
I08,J42;J44,I08 Multiple valve diseases,J42 Unspecified chronic bronchitis;J44 Other chronic obstructive pulmonary disease,3034,13595,400,78,3.978865975,0,Cardiovascular,Respiratory,0,120,202,1,0.440394402
I08,N40,I08 Multiple valve diseases,N40 Hyperplasia of prostate,3034,16565,268,33,2.187871872,1.17E-14,Cardiovascular,Male genital organs,0,72,163,1,0.000237856
I08,I63;I64,I08 Multiple valve diseases,"I63 Cerebral infarction;I64 Stroke, not specified as haemorrhage or infarction",3034,6144,227,48,4.99635377,0,Cardiovascular,Cardiovascular,0,64,115,1,0.447216712
D64,I08,D64 Other anaemias,I08 Multiple valve diseases,18059,3034,549,78,4.111091828,6.01E-14,Hematological,Cardiovascular,0,285,186,0.196678931,1
I08,M19,I08 Multiple valve diseases,M19 Other arthrosis,3034,26203,483,58,2.492726582,9.60E-14,Cardiovascular,Joint,0,148,277,1,0.000710936
I08,I20,I08 Multiple valve diseases,I20 Angina pectoris,3034,25449,959,201,5.095964765,4.22E-15,Cardiovascular,Cardiovascular,-1,194,564,1,2.69E-08
I08,I31,I08 Multiple valve diseases,I31 Other diseases of pericardium,3034,1763,216,88,16.56837707,0,Cardiovascular,Cardiovascular,0,69,59,0.999999973,1
I08,I51,I08 Multiple valve diseases,I51 Complications and ill-defined descriptions of heart disease,3034,7240,1165,659,21.76035069,1.40E-14,Cardiovascular,Cardiovascular,0,243,263,1,1
I08,I38,I08 Multiple valve diseases,"I38 Endocarditis, valve unspecified",3034,600,87,8,19.60859756,0,Cardiovascular,Cardiovascular,0,43,36,0.584813495,0.957155513
I08,K20;K21,I08 Multiple valve diseases,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,3034,44943,545,68,1.639883419,0,Cardiovascular,Gastrointestinal,-1,145,332,1,1.95E-07
I08,I49,I08 Multiple valve diseases,I49 Other cardiac arrhythmias,3034,4136,302,90,9.874268764,1.67E-15,Cardiovascular,Cardiovascular,0,105,107,0.999999966,0.999999875
I08,I35,I08 Multiple valve diseases,I35 Nonrheumatic aortic valve disorders,3034,4101,585,38,19.29055079,0,Cardiovascular,Cardiovascular,0,201,346,1,5.56E-06
I08,I50,I08 Multiple valve diseases,I50 Heart failure,3034,8926,1139,503,17.25620823,4.44E-16,Cardiovascular,Cardiovascular,0,239,397,1,1
F05,I08,"F05 Delirium, not induced by alcohol and other psychoactive substances",I08 Multiple valve diseases,1557,3034,75,18,6.514051412,0,Psychiatric,Cardiovascular,0,15,42,0.999999981,0.17784962
I08,J84,I08 Multiple valve diseases,J84 Other interstitial pulmonary diseases,3034,1744,82,19,6.35837156,0,Cardiovascular,Respiratory,0,26,37,0.999732639,0.839853318
I08,I95,I08 Multiple valve diseases,I95 Hypotension,3034,8464,453,94,7.237708343,6.55E-15,Cardiovascular,Cardiovascular,0,197,162,0.997618728,1
E03,I08,E03 Other hypothyroidism,I08 Multiple valve diseases,20958,3034,329,55,2.122875833,0,Endocrine,Cardiovascular,0,196,78,0.000304538,1
I08,I47,I08 Multiple valve diseases,I47 Paroxysmal tachycardia,3034,4679,331,71,9.566508895,2.55E-15,Cardiovascular,Cardiovascular,0,111,149,0.999999999,0.969257031
I08,K57,I08 Multiple valve diseases,K57 Diverticular disease of intestine,3034,41136,510,39,1.676589137,0,Cardiovascular,Gastrointestinal,0,182,289,1,0.001486019
B96,I08,B96 Other bacterial agents as the cause of diseases classified to other chapters,I08 Multiple valve diseases,13036,3034,346,46,3.589304291,0,Infectious,Cardiovascular,0,160,140,0.926737469,0.999848355
I08,M81,I08 Multiple valve diseases,M81 Osteoporosis without pathological fracture,3034,9918,203,36,2.767900442,7.77E-15,Cardiovascular,Bone,0,64,103,0.999999966,0.444205324
I08,J45,I08 Multiple valve diseases,J45 Asthma,3034,37337,460,54,1.666084189,9.45E-14,Cardiovascular,Respiratory,-1,87,319,1,3.17E-17
I08,M54,I08 Multiple valve diseases,M54 Dorsalgia,3034,21562,310,34,1.944245862,0,Cardiovascular,Spine,0,96,180,1,0.002650878
I08,J98,I08 Multiple valve diseases,J98 Other respiratory disorders,3034,5690,253,71,6.012938831,0,Cardiovascular,Respiratory,0,93,89,0.999991464,0.999999259
I08,N17,I08 Multiple valve diseases,N17 Acute renal failure,3034,9312,568,117,8.248669433,0,Cardiovascular,Urinary,0,237,214,0.99996764,0.999999999
I08,I44,I08 Multiple valve diseases,I44 Atrioventricular and left bundle-branch block,3034,6063,513,170,11.44216821,0,Cardiovascular,Cardiovascular,0,147,196,1,0.999999969
F17,I08,F17 Mental and behavioural disorders due to use of tobacco,I08 Multiple valve diseases,18179,3034,289,68,2.149841213,4.92E-14,Psychiatric,Cardiovascular,0,158,63,0.06300808,1
E87,I08,"E87 Other disorders of fluid, electrolyte and acid-base balance",I08 Multiple valve diseases,9766,3034,538,128,7.449790962,1.12E-14,Metabolic,Cardiovascular,0,184,226,1,0.999914533
A41,I08,A41 Other septicaemia,I08 Multiple valve diseases,6601,3034,262,52,5.367475734,9.88E-15,Infectious,Cardiovascular,0,97,113,0.999990934,0.988959149
I08,K72,I08 Multiple valve diseases,"K72 Hepatic failure, not elsewhere classified",3034,585,30,9,6.93495935,8.88E-16,Cardiovascular,Hepatobiliary pancreas,0,15,6,0.572232224,0.999837543
D73,I08,D73 Diseases of spleen,I08 Multiple valve diseases,777,3034,28,9,4.873214678,2.38E-11,Hematological,Cardiovascular,0,12,7,0.827535775,0.998140417
I08,I70,I08 Multiple valve diseases,I70 Atherosclerosis,3034,1940,138,34,9.619575057,2.44E-15,Cardiovascular,Cardiovascular,0,54,50,0.995958323,0.999581997
I08,N39,I08 Multiple valve diseases,N39 Other disorders of urinary system,3034,27390,485,59,2.394573861,8.96E-14,Cardiovascular,Urinary,0,187,239,0.999999837,0.641774841
F32,I08,F32 Depressive episode,I08 Multiple valve diseases,18765,3034,286,32,2.061085441,6.66E-14,Psychiatric,Cardiovascular,0,162,92,0.014251875,1
I08,M17,I08 Multiple valve diseases,M17 Gonarthrosis [arthrosis of knee],3034,29081,317,39,1.474105128,4.90E-11,Cardiovascular,Joint,0,89,189,1,0.000363445
D50,I08,D50 Iron deficiency anaemia,I08 Multiple valve diseases,13019,3034,336,35,3.49011857,0,Hematological,Cardiovascular,0,163,138,0.725747987,0.999575397
I08,J22,I08 Multiple valve diseases,J22 Unspecified acute lower respiratory infection,3034,11590,413,54,4.818869294,7.44E-15,Cardiovascular,Respiratory,0,151,208,0.999999985,0.460809786
I08,I21;I22,I08 Multiple valve diseases,I21 Acute myocardial infarction;I22 Subsequent myocardial infarction,3034,11771,646,266,7.421602491,1.22E-14,Cardiovascular,Cardiovascular,0,64,316,1,0.722444001
I08,I25,I08 Multiple valve diseases,I25 Chronic ischaemic heart disease,3034,36556,1637,574,6.055758422,0,Cardiovascular,Cardiovascular,0,318,745,1,0.99987402
I08,J96,I08 Multiple valve diseases,"J96 Respiratory failure, not elsewhere classified",3034,3669,215,66,7.924452732,0,Cardiovascular,Respiratory,0,80,69,0.99993843,0.999999962
F10,F60,F10 Mental and behavioural disorders due to use of alcohol,F60 Specific personality disorders,7461,473,127,32,14.76521067,1.11E-16,Psychiatric,Psychiatric,0,66,29,0.361393542,1
F60,M13,F60 Specific personality disorders,M13 Other arthritis,473,19151,55,5,2.491174788,2.76E-09,Psychiatric,Joint,0,32,18,0.140304859,0.996772098
F41,F60,F41 Other anxiety disorders,F60 Specific personality disorders,10708,473,152,32,12.31312227,1.33E-15,Psychiatric,Psychiatric,0,46,74,0.999999736,0.657395624
E78,F60,E78 Disorders of lipoprotein metabolism and other lipidaemias,F60 Specific personality disorders,53818,473,123,15,1.982487802,5.92E-12,Metabolic,Psychiatric,0,43,65,0.999721954,0.294344032
E11,F60,E11 Non-insulin-dependent diabetes mellitus,F60 Specific personality disorders,29261,473,91,8,2.697647469,0,Endocrine,Psychiatric,0,34,49,0.99427183,0.264801048
E66,F60,E66 Obesity,F60 Specific personality disorders,19224,473,81,8,3.654889303,0,Nutritional,Psychiatric,0,24,49,0.999936694,0.037394077
F60,M25,F60 Specific personality disorders,"M25 Other joint disorders, not elsewhere classified",473,19071,57,5,2.592593073,3.55E-10,Psychiatric,Joint,0,30,22,0.395683214,0.96863166
F60,N18,F60 Specific personality disorders,N18 Chronic renal failure,473,9082,30,6,2.865317313,6.36E-07,Psychiatric,Urinary,0,21,3,0.021386973,0.999999566
F60,I10,F60 Specific personality disorders,I10 Essential (primary) hypertension,473,112927,190,13,1.459448508,5.37E-07,Psychiatric,Cardiovascular,0,100,77,0.256954818,0.996445188
F31,F60,F31 Bipolar affective disorder,F60 Specific personality disorders,1449,473,93,14,55.67337247,0,Psychiatric,Psychiatric,0,37,42,0.981242884,0.850134152
F20,F60,F20 Schizophrenia,F60 Specific personality disorders,881,473,58,7,57.10643536,0,Psychiatric,Psychiatric,0,25,26,0.881476443,0.820928349
D64,F60,D64 Other anaemias,F60 Specific personality disorders,18059,473,68,5,3.266240665,0,Hematological,Psychiatric,0,18,45,0.999977733,0.005168831
F60,G40,F60 Specific personality disorders,G40 Epilepsy,473,5191,47,6,7.853799245,3.33E-16,Psychiatric,Neurological,0,22,19,0.719967685,0.928067456
F60,M19,F60 Specific personality disorders,M19 Other arthrosis,473,26203,68,5,2.251079654,2.40E-09,Psychiatric,Joint,0,38,25,0.19806242,0.989736533
F60,M79,F60 Specific personality disorders,"M79 Other soft tissue disorders, not elsewhere classified",473,18612,80,7,3.728463621,1.44E-15,Psychiatric,Muscular,0,51,22,0.009158049,0.999987354
F60,I50,F60 Specific personality disorders,I50 Heart failure,473,8926,29,6,2.818214741,1.33E-06,Psychiatric,Cardiovascular,0,17,6,0.22912916,0.999726944
F60,I95,F60 Specific personality disorders,I95 Hypotension,473,8464,43,6,4.406824626,4.77E-15,Psychiatric,Cardiovascular,0,28,9,0.032997017,0.999979033
E03,F60,E03 Other hypothyroidism,F60 Specific personality disorders,20958,473,51,5,2.110830238,1.32E-06,Endocrine,Psychiatric,0,20,26,0.954042725,0.5
B96,F60,B96 Other bacterial agents as the cause of diseases classified to other chapters,F60 Specific personality disorders,13036,473,49,5,3.260503682,3.25E-12,Infectious,Psychiatric,0,14,30,0.999298656,0.076203886
F60,J45,F60 Specific personality disorders,J45 Asthma,473,37337,122,12,2.834349345,0,Psychiatric,Respiratory,0,51,59,0.971588656,0.674520092
F60,M54,F60 Specific personality disorders,M54 Dorsalgia,473,21562,94,6,3.78156682,0,Psychiatric,Spine,0,44,44,0.764753943,0.764753943
F60,N17,F60 Specific personality disorders,N17 Acute renal failure,473,9312,52,8,4.843879638,1.78E-15,Psychiatric,Urinary,0,36,8,0.003893718,0.999999965
F43,F60,"F43 Reaction to severe stress, and adjustment disorders",F60 Specific personality disorders,767,473,68,19,76.90357258,0,Psychiatric,Psychiatric,0,27,22,0.965940663,0.998906878
F17,F60,F17 Mental and behavioural disorders due to use of tobacco,F60 Specific personality disorders,18179,473,130,14,6.203064963,4.77E-15,Psychiatric,Psychiatric,0,36,80,0.999999931,0.005347028
E87,F60,"E87 Other disorders of fluid, electrolyte and acid-base balance",F60 Specific personality disorders,9766,473,64,12,5.684551702,3.11E-15,Metabolic,Psychiatric,0,12,40,0.99999995,0.029970595
F33,F60,F33 Recurrent depressive disorder,F60 Specific personality disorders,997,473,106,28,92.22394032,0,Psychiatric,Psychiatric,0,53,25,0.53865742,0.999999993
E55,F60,E55 Vitamin D deficiency,F60 Specific personality disorders,1386,473,21,7,13.14283426,0,Nutritional,Psychiatric,0,2,12,0.99998951,0.331811905
F60,N39,F60 Specific personality disorders,N39 Other disorders of urinary system,473,27390,97,7,3.071939575,0,Psychiatric,Urinary,0,55,35,0.111438827,0.997887098
F32,F60,F32 Depressive episode,F60 Specific personality disorders,18765,473,335,67,15.48564165,2.00E-15,Psychiatric,Psychiatric,0,172,96,0.331056304,1
F60,I25,F60 Specific personality disorders,I25 Chronic ischaemic heart disease,473,36556,82,11,1.945754979,3.55E-08,Psychiatric,Cardiovascular,0,50,21,0.029904169,0.999998143
F60,K29,F60 Specific personality disorders,K29 Gastritis and duodenitis,473,42719,117,5,2.375733659,0,Psychiatric,Gastrointestinal,0,66,46,0.09767453,0.992067752
F60,K92,F60 Specific personality disorders,K92 Other diseases of digestive system,473,14676,72,6,4.255570211,0,Psychiatric,Gastrointestinal,0,40,26,0.204789698,0.993612702
N92,N94,"N92 Excessive, frequent and irregular menstruation",N94 Pain and other conditions associated with female genital organs and menstrual cycle,16896,4310,2079,1541,11.71352007,1.12E-14,Female genital organs,Female genital organs,0,340,198,1,1
N92,N99,"N92 Excessive, frequent and irregular menstruation","N99 Postprocedural disorders of genito-urinary system, not elsewhere classified",16896,1567,141,33,2.185044685,0,Female genital organs,Female genital organs,0,97,11,4.74E-06,1
N83,N92,"N83 Noninflammatory disorders of ovary, Fallopian tube and broad ligament","N92 Excessive, frequent and irregular menstruation",6875,16896,1482,591,5.234626601,1.98E-14,Female genital organs,Female genital organs,0,255,636,1,0.99999998
D26,N92,D26 Other benign neoplasms of uterus,"N92 Excessive, frequent and irregular menstruation",473,16896,118,59,6.058025168,2.00E-15,Neoplasm,Female genital organs,0,10,49,1,0.973625825
N92,N97,"N92 Excessive, frequent and irregular menstruation",N97 Female infertility,16896,1330,225,47,4.108100729,0,Female genital organs,Female genital organs,-1,22,156,1,3.22E-09
N70,N92,N70 Salpingitis and oophoritis,"N92 Excessive, frequent and irregular menstruation",731,16896,178,43,5.913067437,3.33E-16,Female genital organs,Female genital organs,0,36,99,1,0.077108374
E66,N92,E66 Obesity,"N92 Excessive, frequent and irregular menstruation",19224,16896,1182,180,1.493082913,0,Nutritional,Female genital organs,-1,111,891,1,1.92E-71
D06;N87,N92,D06 Carcinoma in situ of cervix uteri;N87 Dysplasia of cervix uteri,"N92 Excessive, frequent and irregular menstruation",2581,16896,364,89,3.424708296,1.27E-14,Neoplasm,Female genital organs,0,165,110,0.966783738,1
N81,N92,N81 Female genital prolapse,"N92 Excessive, frequent and irregular menstruation",15187,16896,1517,616,2.425625751,0,Female genital organs,Female genital organs,0,119,782,1,0.118788103
N92,N93,"N92 Excessive, frequent and irregular menstruation",N93 Other abnormal uterine and vaginal bleeding,16896,5305,1535,542,7.026405315,2.10E-14,Female genital organs,Female genital organs,0,507,486,1,1
N72;N75,N92,N72 Inflammatory disease of cervix uteri;N75 Diseases of Bartholin's gland,"N92 Excessive, frequent and irregular menstruation",2368,16896,406,165,4.163461396,0,Female genital organs,Female genital organs,0,92,149,1,0.999999974
D57,N92,D57 Sickle-cell disorders,"N92 Excessive, frequent and irregular menstruation",483,16896,66,22,3.318234019,5.00E-15,Hematological,Female genital organs,0,19,25,0.999856441,0.982208638
K66,N92,K66 Other disorders of peritoneum,"N92 Excessive, frequent and irregular menstruation",5078,16896,377,51,1.802846954,0,Gastrointestinal,Female genital organs,-1,50,276,1,3.36E-20
D64,N92,D64 Other anaemias,"N92 Excessive, frequent and irregular menstruation",18059,16896,1292,302,1.737316812,0,Hematological,Female genital organs,0,335,655,1,0.31813194
N86,N92,N86 Erosion and ectropion of cervix uteri,"N92 Excessive, frequent and irregular menstruation",1146,16896,446,290,9.450623194,9.21E-15,Female genital organs,Female genital organs,0,99,57,1,1
M88,N92,M88 Paget's disease of bone [osteitis deformans],"N92 Excessive, frequent and irregular menstruation",416,16896,112,62,6.537849195,0,Bone,Female genital organs,0,26,24,0.999999998,1
N85,N92,"N85 Other noninflammatory disorders of uterus, except cervix","N92 Excessive, frequent and irregular menstruation",7044,16896,1845,1040,6.360441021,0,Female genital organs,Female genital organs,0,186,619,1,1
N73,N92,N73 Other female pelvic inflammatory diseases,"N92 Excessive, frequent and irregular menstruation",3873,16896,919,305,5.762065902,1.02E-13,Female genital organs,Female genital organs,0,187,427,1,0.985292463
N76,N92,N76 Other inflammation of vagina and vulva,"N92 Excessive, frequent and irregular menstruation",1038,16896,124,22,2.900911892,0,Female genital organs,Female genital organs,0,40,62,0.99997795,0.535753918
E03,N92,E03 Other hypothyroidism,"N92 Excessive, frequent and irregular menstruation",20958,16896,1248,235,1.446022185,5.38E-14,Endocrine,Female genital organs,-1,150,863,1,7.14E-43
J45,N92,J45 Asthma,"N92 Excessive, frequent and irregular menstruation",37337,16896,2097,416,1.363858194,0,Respiratory,Female genital organs,-1,480,1201,1,1.47E-11
D25,N92,D25 Leiomyoma of uterus,"N92 Excessive, frequent and irregular menstruation",13924,16896,4635,2868,8.08343463,6.07E-14,Neoplasm,Female genital organs,0,483,1284,1,1
N89,N92,N89 Other noninflammatory disorders of vagina,"N92 Excessive, frequent and irregular menstruation",2040,16896,329,85,3.916299861,0,Female genital organs,Female genital organs,0,82,162,1,0.629570387
N84,N92,N84 Polyp of female genital tract,"N92 Excessive, frequent and irregular menstruation",13967,16896,3113,1914,5.412353999,2.00E-13,Female genital organs,Female genital organs,0,496,703,1,1
N39,N92,N39 Other disorders of urinary system,"N92 Excessive, frequent and irregular menstruation",27390,16896,1725,260,1.529351361,0,Urinary,Female genital organs,-1,375,1090,1,2.01E-28
D50,N92,D50 Iron deficiency anaemia,"N92 Excessive, frequent and irregular menstruation",13019,16896,1082,395,2.018179732,0,Hematological,Female genital organs,0,221,466,1,0.999997864
N80,N92,N80 Endometriosis,"N92 Excessive, frequent and irregular menstruation",4999,16896,1474,603,7.160190111,1.33E-13,Female genital organs,Female genital organs,0,223,648,1,0.999998478
N88,N92,N88 Other noninflammatory disorders of cervix uteri,"N92 Excessive, frequent and irregular menstruation",2450,16896,510,267,5.054920136,0,Female genital organs,Female genital organs,0,60,183,1,1
D27,N92,D27 Benign neoplasm of ovary,"N92 Excessive, frequent and irregular menstruation",1947,16896,182,44,2.269946613,0,Neoplasm,Female genital organs,0,19,119,1,2.00E-05
N90,N92,N90 Other noninflammatory disorders of vulva and perineum,"N92 Excessive, frequent and irregular menstruation",2657,16896,256,48,2.339691609,2.49E-14,Female genital organs,Female genital organs,0,59,149,1,0.005126404
J18,M07,"J18 Pneumonia, organism unspecified",M07 Psoriatic and enteropathic arthropathies,14881,1034,92,21,2.453179232,4.76E-14,Respiratory,Joint,0,15,56,1,0.023505781
K76,M07,K76 Other diseases of liver,M07 Psoriatic and enteropathic arthropathies,5828,1034,56,15,3.812782685,0,Hepatobiliary pancreas,Joint,0,10,31,0.999999871,0.25220188
F41,M07,F41 Other anxiety disorders,M07 Psoriatic and enteropathic arthropathies,10708,1034,60,16,2.22339414,3.00E-08,Psychiatric,Joint,0,19,25,0.998664782,0.922499048
M07,M10,M07 Psoriatic and enteropathic arthropathies,M10 Gout,1034,5405,37,15,2.716311639,1.26E-07,Joint,Joint,0,15,7,0.906129221,0.999979371
M07,M66,M07 Psoriatic and enteropathic arthropathies,M66 Spontaneous rupture of synovium and tendon,1034,727,11,8,6.003877784,3.69E-06,Joint,Muscular,0,0,3,1,0.967285156
E78,M07,E78 Disorders of lipoprotein metabolism and other lipidaemias,M07 Psoriatic and enteropathic arthropathies,53818,1034,220,65,1.62206665,1.84E-11,Metabolic,Joint,0,72,83,0.999999922,0.999902892
E11,M07,E11 Non-insulin-dependent diabetes mellitus,M07 Psoriatic and enteropathic arthropathies,29261,1034,142,41,1.925629582,1.17E-12,Endocrine,Joint,0,52,49,0.99950258,0.999929619
E66,M07,E66 Obesity,M07 Psoriatic and enteropathic arthropathies,19224,1034,129,36,2.662683342,0,Nutritional,Joint,0,36,57,0.999999898,0.920673143
M07,M25,M07 Psoriatic and enteropathic arthropathies,"M25 Other joint disorders, not elsewhere classified",1034,19071,164,42,3.412274422,0,Joint,Joint,0,51,71,0.999999683,0.963914507
M07,N18,M07 Psoriatic and enteropathic arthropathies,N18 Chronic renal failure,1034,9082,61,24,2.665151529,3.08E-11,Joint,Urinary,0,30,7,0.600923686,1
I10,M07,I10 Essential (primary) hypertension,M07 Psoriatic and enteropathic arthropathies,112927,1034,476,136,1.672563945,0,Cardiovascular,Joint,0,193,147,0.999985623,1
J42;J44,M07,J42 Unspecified chronic bronchitis;J44 Other chronic obstructive pulmonary disease,M07 Psoriatic and enteropathic arthropathies,13595,1034,68,12,1.984738387,2.43E-07,Respiratory,Joint,0,24,32,0.994831169,0.727693888
K52,M07,K52 Other non-infective gastro-enteritis and colitis,M07 Psoriatic and enteropathic arthropathies,21312,1034,113,18,2.103913134,1.24E-12,Gastrointestinal,Joint,0,56,39,0.574565039,0.999679616
M07,M75,M07 Psoriatic and enteropathic arthropathies,M75 Shoulder lesions,1034,13064,72,24,2.186904879,2.70E-09,Joint,Muscular,0,20,28,0.999962221,0.97781454
M07,M45,M07 Psoriatic and enteropathic arthropathies,M45 Ankylosing spondylitis,1034,886,26,10,11.64429488,0,Joint,Immunological,0,9,7,0.962240651,0.995322347
M07,M51,M07 Psoriatic and enteropathic arthropathies,M51 Other intervertebral disk disorders,1034,10898,70,14,2.548735718,8.28E-12,Joint,Spine,0,31,25,0.859010539,0.994236795
D64,M07,D64 Other anaemias,M07 Psoriatic and enteropathic arthropathies,18059,1034,114,16,2.504867293,0,Hematological,Joint,0,44,54,0.994440703,0.743872564
M07,M15,M07 Psoriatic and enteropathic arthropathies,M15 Polyarthrosis,1034,6515,64,18,3.897975658,0,Joint,Joint,0,27,19,0.915678544,0.999691311
M07,M16,M07 Psoriatic and enteropathic arthropathies,M16 Coxarthrosis [arthrosis of hip],1034,16956,80,27,1.872147869,2.33E-07,Joint,Joint,0,32,21,0.971667787,0.99999571
M07,M19,M07 Psoriatic and enteropathic arthropathies,M19 Other arthrosis,1034,26203,203,58,3.074104239,2.00E-15,Joint,Joint,0,82,63,0.997564859,0.999999985
M07,M65,M07 Psoriatic and enteropathic arthropathies,M65 Synovitis and tenosynovitis,1034,7478,77,32,4.085816267,0,Joint,Muscular,0,21,24,0.999985368,0.99973061
I20,M07,I20 Angina pectoris,M07 Psoriatic and enteropathic arthropathies,25449,1034,135,24,2.104924948,3.67E-14,Cardiovascular,Joint,0,55,56,0.987562087,0.98076425
M06,M07,M06 Other rheumatoid arthritis,M07 Psoriatic and enteropathic arthropathies,6587,1034,242,31,14.57811163,0,Immunological,Joint,0,87,124,0.999995994,0.37398688
K20;K21,M07,K20 Oesophagitis;K21 Gastro-oesophageal reflux disease,M07 Psoriatic and enteropathic arthropathies,44943,1034,187,32,1.651022974,1.46E-10,Gastrointestinal,Joint,0,80,75,0.979841924,0.997342388
K50,M07,K50 Crohn's disease [regional enteritis],M07 Psoriatic and enteropathic arthropathies,2380,1034,47,11,7.836000764,0,Gastrointestinal,Joint,0,26,10,0.280032315,0.999987548
M07,M79,M07 Psoriatic and enteropathic arthropathies,"M79 Other soft tissue disorders, not elsewhere classified",1034,18612,150,34,3.197950845,1.03E-14,Joint,Muscular,0,49,67,0.999993847,0.917546509
