GenAge ID,symbol,name,organism,entrez gene id,avg lifespan change (max obsv),lifespan effect,longevity influence
54,sco-1,Protein SCO-1,Caenorhabditis elegans,173763,23,Increase,Anti-Longevity
55,cpna-3,Protein CPNA-3,Caenorhabditis elegans,3565393,,Increase,Anti-Longevity
56,C06A5.1,Protein C06A5.1,Caenorhabditis elegans,182280,39,Decrease,Pro-Longevity
57,C07A9.2,Protein C07A9.2,Caenorhabditis elegans,176368,26,Decrease,Pro-Longevity
58,ubh-4,UBiquitin C-terminal Hydrolase,Caenorhabditis elegans,174289,,Increase,Anti-Longevity
59,C09B7.2,transposase,Caenorhabditis elegans,182438,,Increase,Anti-Longevity
60,C11H1.3,Protein C11H1.3,Caenorhabditis elegans,181537,10,Decrease,Pro-Longevity
61,C14A4.9,Protein C14A4.9,Caenorhabditis elegans,174637,14,Decrease,Pro-Longevity
62,C18E9.10,Protein C18E9.10,Caenorhabditis elegans,174427,,Increase,Anti-Longevity
63,C18E9.4,Protein C18E9.4,Caenorhabditis elegans,174428,60,Increase,Anti-Longevity
64,mdt-26,Protein MDT-26,Caenorhabditis elegans,173960,,Decrease,Pro-Longevity
65,C26B2.2,Protein C26B2.2,Caenorhabditis elegans,182926,,Increase,Anti-Longevity
66,C26B9.3,Protein C26B9.3,Caenorhabditis elegans,180804,12,Decrease,Pro-Longevity
67,C27B7.7,Protein C27B7.7,Caenorhabditis elegans,177708,,Increase,Anti-Longevity
68,vps-22,Protein VPS-22,Caenorhabditis elegans,175672,43,Decrease,Pro-Longevity
69,C29F9.1,Protein C29F9.1,Caenorhabditis elegans,175180,,Decrease,Pro-Longevity
70,C29F9.2,Protein C29F9.2,Caenorhabditis elegans,175179,12,Decrease,Pro-Longevity
71,tbc-7,TBC (Tre-2/Bub2/Cdc16) domain family,Caenorhabditis elegans,180784,,Decrease,Pro-Longevity
72,CELE_C32H11.1,Protein C32H11.1,Caenorhabditis elegans,183126,,Increase,Anti-Longevity
73,CELE_C32H11.5,Protein C32H11.5,Caenorhabditis elegans,183129,,Increase,Anti-Longevity
74,CELE_C33A12.1,Protein C33A12.1,Caenorhabditis elegans,177786,50,Increase,Anti-Longevity
75,C33F10.12,Protein C33F10.12,Caenorhabditis elegans,183168,,Increase,Anti-Longevity
76,C33H5.18,Protein C33H5.18,Caenorhabditis elegans,3565046,44,Decrease,Pro-Longevity
77,C35A11.3,Protein C35A11.3,Caenorhabditis elegans,183228,,Increase,Anti-Longevity
78,C36H8.1,Protein C36H8.1,Caenorhabditis elegans,178230,,Increase,Anti-Longevity
79,scl-4,SCP-Like extracellular protein,Caenorhabditis elegans,183342,,Increase,Anti-Longevity
80,scl-8,SCP-Like extracellular protein,Caenorhabditis elegans,183345,18,Increase,Anti-Longevity
81,trim-9,Protein TRIM-9,Caenorhabditis elegans,178619,,Increase,Anti-Longevity
82,ttr-5,TransThyretin-Related family domain,Caenorhabditis elegans,176312,14,Increase,Anti-Longevity
83,C42C1.3,Protein C42C1.3,Caenorhabditis elegans,183399,60,Increase,Anti-Longevity
84,C46G7.2,Protein C46G7.2,Caenorhabditis elegans,177367,44,Increase,Anti-Longevity
85,C47E12.2,Protein C47E12.2,Caenorhabditis elegans,177858,36,Increase,Anti-Longevity
86,C48E7.2,Protein C48E7.2,Caenorhabditis elegans,172321,26,Increase,Anti-Longevity
87,C56G2.1,Protein C56G2.1,Caenorhabditis elegans,175898,20,Increase,Anti-Longevity
88,calu-1,CALUmenin (calcium-binding protein) homolog,Caenorhabditis elegans,180769,,Decrease,Pro-Longevity
89,car,carnation,Drosophila melanogaster,32947,,Increase,Pro-Longevity
90,Casp2,caspase 2,Mus musculus,12366,,Decrease,Pro-Longevity
91,Cat,Catalase,Drosophila melanogaster,40048,33,Increase,Pro-Longevity
92,Cat,Catalase,Mus musculus,12359,21,Increase,Pro-Longevity
93,Cav1,"caveolin, caveolae protein 1",Mus musculus,12389,50,Decrease,Pro-Longevity
94,cchl-1,Cytochrome C Heme-Lyase,Caenorhabditis elegans,174713,50,Increase,Anti-Longevity
95,cco-1,Cytochrome C Oxidase,Caenorhabditis elegans,172832,80,Increase,Anti-Longevity
96,cco-2,Cytochrome C Oxidase,Caenorhabditis elegans,176707,60,Increase,Anti-Longevity
97,ccr-4,CCR (yeast CCR4/NOT complex component) homolog,Caenorhabditis elegans,178184,33,Decrease,Pro-Longevity
98,CCS1,Ccs1p,Saccharomyces cerevisiae,855054,50,Decrease,Unannotated
99,cct-4,Chaperonin Containing TCP-1,Caenorhabditis elegans,174330,28,Increase,Anti-Longevity
100,cct-6,Chaperonin Containing TCP-1,Caenorhabditis elegans,175819,20,Increase,Anti-Longevity
101,Cct1,CTP:phosphocholine cytidylyltransferase 1,Drosophila melanogaster,117353,8,Increase,Pro-Longevity
102,vps-37,related to yeast Vacuolar Protein Sorting factor,Caenorhabditis elegans,178944,44,Decrease,Pro-Longevity
103,cdc-25.1,Cell Division Cycle related,Caenorhabditis elegans,172353,,Increase,Anti-Longevity
104,cdc-25.3,Cell Division Cycle related,Caenorhabditis elegans,176260,40,Increase,Anti-Longevity
105,CDC25,Cdc25p,Saccharomyces cerevisiae,851019,50,Increase,Anti-Longevity
106,CDC6,Cell Division Cycle,Saccharomyces cerevisiae,853244,20,Increase,Anti-Longevity
107,cdk-7,Cyclin-Dependent Kinase family,Caenorhabditis elegans,171784,,Decrease,Pro-Longevity
108,Cdk5,Cyclin-dependent kinase 5,Drosophila melanogaster,36727,33,Decrease,Pro-Longevity
109,Cdkn1a,Cyclin-dependent kinase inhibitor 1A,Mus musculus,12575,,Increase,Anti-Longevity
110,Cebpa,"CCAAT/enhancer binding protein (C/EBP), alpha",Mus musculus,12606,,Increase,Unannotated
111,Cebpb,"CCAAT/enhancer binding protein (C/EBP), beta",Mus musculus,12608,,Increase,Unannotated
112,ced-3,CEll Death abnormality,Caenorhabditis elegans,178272,19,Increase,Anti-Longevity
113,ceh-18,Protein CEH-18,Caenorhabditis elegans,180671,,Increase,Anti-Longevity
114,T15B12.1,INSulin related,Caenorhabditis elegans,188527,40,Increase,Anti-Longevity
115,cel-1,mRNA Capping Enzyme Like,Caenorhabditis elegans,172814,59,Decrease,Pro-Longevity
116,cep-1,C. Elegans P-53-like protein,Caenorhabditis elegans,172616,33,Increase,Anti-Longevity
117,cert,ceramide transfer protein,Drosophila melanogaster,38928,,Decrease,Pro-Longevity
118,che-11,abnormal CHEmotaxis,Caenorhabditis elegans,179666,40,Increase,Anti-Longevity
119,che-13,abnormal CHEmotaxis,Caenorhabditis elegans,186607,40,Increase,Anti-Longevity
120,che-2,abnormal CHEmotaxis,Caenorhabditis elegans,180401,50,Increase,Anti-Longevity
121,che-3,abnormal CHEmotaxis,Caenorhabditis elegans,172593,100,Increase,Anti-Longevity
122,Chek2,CHK2 checkpoint homolog (S. pombe),Mus musculus,50883,,Decrease,Pro-Longevity
123,cher,cheerio,Drosophila melanogaster,42066,9,Increase,Pro-Longevity
124,chico,Insulin receptor substrate-1,Drosophila melanogaster,64880,48,Increase,Anti-Longevity
125,chk-1,CHeckpoint Kinase,Caenorhabditis elegans,3565921,25,Increase,Anti-Longevity
126,CHL1,Chl1p,Saccharomyces cerevisiae,856099,50,Decrease,Unannotated
127,cit-1.2,CyclIn T,Caenorhabditis elegans,176126,,Decrease,Pro-Longevity
128,Csnk1e,"casein kinase 1, epsilon",Mesocricetus auratus,101830758,,Increase,Unannotated
129,cku-70,Caenorhabditis KU,Caenorhabditis elegans,176546,,Increase,Anti-Longevity
130,clk-1,Coenzyme Q7 homolog,Caenorhabditis elegans,175729,,Increase and Decrease,Anti-Longevity
131,clk-2,CLocK (biological timing) abnormality,Caenorhabditis elegans,176065,25,Increase,Unannotated
132,CLN3,Cln3p,Saccharomyces cerevisiae,851191,,Decrease,Anti-Longevity
133,cm,carmine,Drosophila melanogaster,31647,,Decrease,Pro-Longevity
134,cnb-1,CalciNeurin B,Caenorhabditis elegans,179572,30,Increase,Anti-Longevity
135,col-93,COLlagen,Caenorhabditis elegans,259335,,Increase,Anti-Longevity
136,Coq7,demethyl-Q 7,Mus musculus,12850,30,Increase,Anti-Longevity
137,cox1,Cytochrome c oxidase I,Podospora anserina,802462,,Increase,Unannotated
138,crn-5,Cell-death-Related Nuclease,Caenorhabditis elegans,174634,41,Increase,Anti-Longevity
139,CSR2,Csr2p,Saccharomyces cerevisiae,856142,,Increase,Anti-Longevity
140,cst-1,Caenorhabditis STE20-like kinase,Caenorhabditis elegans,180708,,Increase and Decrease,Pro-Longevity
141,CTT1,Cytosolic catalase T,Saccharomyces cerevisiae,852979,,Increase,Unannotated
142,cua-1,CU (copper) ATPase,Caenorhabditis elegans,176770,12,Decrease,Pro-Longevity
143,cul-1,CULlin,Caenorhabditis elegans,176466,,Decrease,Pro-Longevity
144,cwp-4,Coexpressed With Polycystins,Caenorhabditis elegans,178894,,Increase,Anti-Longevity
145,cyc-1,Cytochrome c1,Caenorhabditis elegans,172582,87,Increase,Anti-Longevity
146,cox1,cytochrome c oxidase subunit 1,Podospora anserina,802462,,Increase,Unannotated
147,cyp-33E2,CYtochrome P450 family,Caenorhabditis elegans,185653,18,Increase,Anti-Longevity
148,cyp-42A1,CYtochrome P450 family,Caenorhabditis elegans,180236,39,Decrease,Pro-Longevity
149,CYR1,Adenylate cyclase,Saccharomyces cerevisiae,853452,90,Increase,Anti-Longevity
150,CELE_D1054.14,Protein D1054.14,Caenorhabditis elegans,179499,36,Increase,Anti-Longevity
151,CELE_D1054.8,Dehydrogenase,Caenorhabditis elegans,183917,,Increase,Anti-Longevity
152,D1069.3,D1069.3b,Caenorhabditis elegans,173425,,Decrease,Pro-Longevity
153,D2030.4,Protein D2030.4,Caenorhabditis elegans,172513,40,Increase,Anti-Longevity
154,wdr-23,WD Repeat protein,Caenorhabditis elegans,172518,24,Increase,Anti-Longevity
155,D2085.3,Protein D2085.3,Caenorhabditis elegans,174387,,Increase,Anti-Longevity
156,daf-1,abnormal DAuer Formation,Caenorhabditis elegans,176829,46,Increase,Anti-Longevity
157,daf-12,Abnormal DAuer Formation,Caenorhabditis elegans,181263,,Increase,Anti-Longevity
158,daf-14,abnormal DAuer Formation,Caenorhabditis elegans,177908,44,Increase,Anti-Longevity
159,daf-15,Abnormal DAuer Formation,Caenorhabditis elegans,177770,,Increase,Anti-Longevity
160,daf-16,"Abnormal DAuer Formation DAF-16, fork head-related transcription factor (daf-16)",Caenorhabditis elegans,172981,45,Decrease,Pro-Longevity
161,daf-18,Abnormal DAuer Formation,Caenorhabditis elegans,176869,,Increase and Decrease,Pro-Longevity
162,daf-19,Abnormal DAuer Formation,Caenorhabditis elegans,174577,50,Increase,Anti-Longevity
163,daf-2,"abnormal DAuer Formation DAF-2, fork head-related transcription factor (daf-2)",Caenorhabditis elegans,175410,200,Increase,Anti-Longevity
164,daf-28,Abnormal DAuer Formation,Caenorhabditis elegans,191014,15,Increase,Pro-Longevity
165,daf-3,abnormal DAuer Formation,Caenorhabditis elegans,180431,16,Decrease,Anti-Longevity
166,daf-4,abnormal DAuer Formation,Caenorhabditis elegans,175781,120,Increase,Anti-Longevity
167,daf-5,abnormal DAuer Formation,Caenorhabditis elegans,175054,20,Decrease,Pro-Longevity
168,daf-6,abnormal DAuer Formation,Caenorhabditis elegans,181584,50,Increase,Anti-Longevity
169,daf-7,abnormal DAuer Formation,Caenorhabditis elegans,175237,50,Increase,Anti-Longevity
170,daf-8,abnormal DAuer Formation,Caenorhabditis elegans,187612,31,Increase,Anti-Longevity
171,daf-9,abnormal DAuer Formation,Caenorhabditis elegans,180889,74,Increase,Anti-Longevity
172,ddl-1,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),Caenorhabditis elegans,173954,24,Increase,Anti-Longevity
173,ddl-2,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),Caenorhabditis elegans,190025,24,Increase,Anti-Longevity
174,ddl-3,Daf-16-Dependent Longevity (WT but not daf-16 lifespan increased),Caenorhabditis elegans,175087,,Increase,Anti-Longevity
175,des-2,DEgeneration Suppressor,Caenorhabditis elegans,179574,60,Increase,Anti-Longevity
176,dic-1,human DICE1 (Deleted In Cancer) homolog,Caenorhabditis elegans,177676,22,Increase,Anti-Longevity
177,din-1,DAF-12 Interacting Protein,Caenorhabditis elegans,174782,,Decrease,Pro-Longevity
178,DJ-1alpha,DJ-1alpha,Drosophila melanogaster,36543,,Decrease,Pro-Longevity
179,dj-1beta,dj-1beta,Drosophila melanogaster,43652,,Decrease,Pro-Longevity
180,dkf-2,D Kinase Family,Caenorhabditis elegans,180121,40,Increase,Anti-Longevity
181,dlk-1,DAP (Death Associated Protein kinase) Like Kinase,Caenorhabditis elegans,173128,,Decrease,Pro-Longevity
182,DLP,Daxx-like protein,Drosophila melanogaster,33906,20,Decrease,Pro-Longevity
183,DNA2,"Essential tripartite DNA replication factor with single-stranded DNA-dependent ATPase, ATP-dependent",Saccharomyces cerevisiae,856569,,Decrease,Pro-Longevity
184,dnc,dunce,Drosophila melanogaster,31309,,Increase,Anti-Longevity
185,DNM1,Dnm1p,Saccharomyces cerevisiae,850686,,Increase,Anti-Longevity
186,Mt2,DNA methyltransferase 2,Drosophila melanogaster,34632,,Increase,Pro-Longevity
187,dod-17,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,187266,,Increase,Anti-Longevity
188,dod-18,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,183813,,Increase,Anti-Longevity
189,dod-19,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,178564,,Increase,Anti-Longevity
190,dod-20,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,182037,,Increase,Anti-Longevity
191,dod-21,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,183134,,Increase,Anti-Longevity
192,dod-22,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,178247,,Increase,Anti-Longevity
193,dod-23,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,186056,,Increase,Anti-Longevity
194,dod-24,Downstream Of DAF-16 (regulated by DAF-16),Caenorhabditis elegans,178245,,Increase,Anti-Longevity
195,dor,deep orange,Drosophila melanogaster,31118,,Decrease,Pro-Longevity
196,drr-1,Protein DRR-1,Caenorhabditis elegans,174994,,Increase,Anti-Longevity
197,drr-2,Protein DRR-2,Caenorhabditis elegans,259546,,Increase,Anti-Longevity
198,l(3)DTS3,lethal (3) DTS3,Drosophila melanogaster,249462,42,Increase,Anti-Longevity
199,CELE_E03H12.5,Protein E03H12.5,Caenorhabditis elegans,177262,,Increase,Anti-Longevity
200,cyc-2.1,CYtochrome C,Caenorhabditis elegans,177243,80,Increase,Anti-Longevity
201,maoc-1,MAO-C-like dehydratase domain,Caenorhabditis elegans,174181,,Increase,Anti-Longevity
202,eat-1,EATing: abnormal pharyngeal pumping,Caenorhabditis elegans,,30,Increase,Anti-Longevity
203,eat-18,EATing: abnormal pharyngeal pumping,Caenorhabditis elegans,13183021,60,Increase,Anti-Longevity
204,eat-2,EATing: abnormal pharyngeal pumping EAT-2,Caenorhabditis elegans,175072,,Increase,Anti-Longevity
205,eat-3,EATing: abnormal pharyngeal pumping,Caenorhabditis elegans,174476,10,Increase,Anti-Longevity
206,eat-6,EATing: abnormal pharyngeal pumping,Caenorhabditis elegans,179796,40,Increase,Anti-Longevity
207,EcR,Ecdysone receptor,Drosophila melanogaster,35540,50,Increase,Anti-Longevity
208,Ef1alpha48D,Elongation factor 148D,Drosophila melanogaster,36271,41,Increase,Pro-Longevity
209,Efemp1,Epidermal growth factor-containing fibulin-like extracellular matrix protein 1,Mus musculus,216616,20,Decrease,Pro-Longevity
210,eef-2,Elongation Factor,Caenorhabditis elegans,172743,,Increase and Decrease,Unclear
211,egl-10,EGg Laying defective,Caenorhabditis elegans,179707,,Increase,Anti-Longevity
212,egl-3,EGg Laying defective,Caenorhabditis elegans,179412,65,Increase,Anti-Longevity
213,pkg-1,EGg Laying defective,Caenorhabditis elegans,176991,55,Increase,Anti-Longevity
214,egl-45,EGg Laying defective,Caenorhabditis elegans,176094,52,Increase,Anti-Longevity
215,Egm,enigma,Drosophila melanogaster,36242,,Increase,Anti-Longevity
216,lin-40,abnormal cell LINeage,Caenorhabditis elegans,178788,,Increase and Decrease,Pro-Longevity
217,eif-3.B,Eukaryotic Initiation Factor,Caenorhabditis elegans,175138,51,Increase,Anti-Longevity
218,eif-3.F,Eukaryotic Initiation Factor,Caenorhabditis elegans,174478,32,Increase,Anti-Longevity
219,elo-5,fatty acid ELOngation,Caenorhabditis elegans,177320,45,Decrease,Pro-Longevity
220,elt-6,Erythroid-Like Transcription factor family,Caenorhabditis elegans,176993,34,Increase,Anti-Longevity
221,epc-1,Enhancer of PolyComb-like,Caenorhabditis elegans,176679,20,Increase,Anti-Longevity
222,Ercc2,"Excision repair cross-complementing rodent repair deficiency, complementation group 2",Mus musculus,13871,,Decrease,Pro-Longevity
223,Ercc4,"Excision repair cross-complementing rodent repair deficiency, complementation group 4",Mus musculus,50505,,Decrease,Pro-Longevity
224,erm-1,Ezrin/Radixin/Moesin,Caenorhabditis elegans,172174,15,Increase,Anti-Longevity
225,ero-1,Endoplasmic Reticulum Oxidase,Caenorhabditis elegans,173325,32,Increase,Anti-Longevity
226,qars-1,glutaminyl(Q) tRNA Synthetase,Caenorhabditis elegans,178415,40,Increase,Anti-Longevity
227,tkt-1,Protein TKT-1,Caenorhabditis elegans,177906,25,Increase,Anti-Longevity
228,F08B4.7,Protein F08B4.7,Caenorhabditis elegans,177674,21,Increase,Anti-Longevity
229,clec-227,C-type LECtin,Caenorhabditis elegans,184216,,Increase,Anti-Longevity
230,F09F7.5,Protein F09F7.5,Caenorhabditis elegans,175764,,Increase,Anti-Longevity
231,mrps-9,Protein MRPS-9,Caenorhabditis elegans,184267,60,Increase,Anti-Longevity
232,F13B6.1,Protein F13B6.1,Caenorhabditis elegans,184407,50,Increase,Anti-Longevity
233,F13G3.7,Protein F13G3.7,Caenorhabditis elegans,172478,25,Increase,Anti-Longevity
234,F14B4.3,Protein F14B4.3,Caenorhabditis elegans,172752,15,Increase,Anti-Longevity
235,set-9,SET (trithorax/polycomb) domain containing,Caenorhabditis elegans,177196,22,Increase,Anti-Longevity
236,F19B6.1,Protein F19B6.1,Caenorhabditis elegans,178181,35,Increase,Anti-Longevity
237,mrps-33,Protein MRPS-33,Caenorhabditis elegans,184770,36,Increase,Anti-Longevity
238,F21H12.1,Protein F21H12.1,Caenorhabditis elegans,174019,,Increase,Anti-Longevity
239,daf-10,abnormal DAuer Formation,Caenorhabditis elegans,184883,60,Increase,Anti-Longevity
240,symk-1,Protein SYMK-1,Caenorhabditis elegans,182490,24,Increase,Anti-Longevity
241,F26A3.4,Protein F26A3.4,Caenorhabditis elegans,172525,27,Increase,Anti-Longevity
242,F26E4.4,Protein F26E4.4,Caenorhabditis elegans,259393,17,Increase,Anti-Longevity
243,F26E4.6,Protein F26E4.6,Caenorhabditis elegans,3565338,60,Increase,Anti-Longevity
244,F28B3.5,Protein F28B3.5,Caenorhabditis elegans,172111,30,Increase,Anti-Longevity
245,acs-20,Protein ACS-20,Caenorhabditis elegans,178190,50,Decrease,Pro-Longevity
246,CELE_F29C4.2,Protein F29C4.2,Caenorhabditis elegans,176828,100,Increase,Anti-Longevity
247,usp-48,Protein USP-48,Caenorhabditis elegans,172782,,Decrease,Pro-Longevity
248,sac-1,Protein SAC-1,Caenorhabditis elegans,172778,25,Decrease,Pro-Longevity
249,F33D4.5,Protein F33D4.5,Caenorhabditis elegans,177549,57,Increase,Anti-Longevity
250,F33H2.8,Protein F33H2.8,Caenorhabditis elegans,185238,36,Decrease,Pro-Longevity
251,F35D2.3,Protein F35D2.3,Caenorhabditis elegans,174229,,Increase,Anti-Longevity
252,F37C4.4,Protein F37C4.4,Caenorhabditis elegans,177145,,Decrease,Pro-Longevity
253,CELE_F40F12.7,Protein F40F12.7,Caenorhabditis elegans,176402,,Decrease,Pro-Longevity
254,F40F8.5,Protein F40F8.5,Caenorhabditis elegans,174702,,Increase,Anti-Longevity
255,cutl-28,CUTiclin-Like,Caenorhabditis elegans,176895,28,Increase,Anti-Longevity
256,F42A6.1,hypothetical protein,Caenorhabditis elegans,185645,22,Increase,Anti-Longevity
257,F42G10.1,Protein F42G10.1,Caenorhabditis elegans,181214,,Increase,Anti-Longevity
258,CELE_F43D2.1,Protein F43D2.1,Caenorhabditis elegans,185704,20,Decrease,Pro-Longevity
259,mtch-1,Protein MTCH-1,Caenorhabditis elegans,174207,21,Increase,Anti-Longevity
260,idha-1,Protein IDHA-1,Caenorhabditis elegans,172655,,Increase,Anti-Longevity
261,F49C12.9,Protein F49C12.9,Caenorhabditis elegans,177752,19,Increase,Anti-Longevity
262,CELE_F49F1.12,Protein F49F1.12,Caenorhabditis elegans,186068,,Increase,Anti-Longevity
263,CELE_F52C6.2,Protein F52C6.2,Caenorhabditis elegans,173558,19,Decrease,Pro-Longevity
264,CELE_F53F4.11,Protein F53F4.11,Caenorhabditis elegans,179849,27,Increase,Anti-Longevity
265,F55B11.1,Protein F55B11.1,Caenorhabditis elegans,178381,,Increase,Anti-Longevity
266,F55B11.3,Protein F55B11.3,Caenorhabditis elegans,178383,,Increase,Anti-Longevity
267,F55B11.5,Protein F55B11.5,Caenorhabditis elegans,3565591,,Increase,Anti-Longevity
268,hpo-31,Protein HPO-31,Caenorhabditis elegans,3565786,52,Decrease,Pro-Longevity
269,aakb-1,AMP-Activated Kinase Beta subunit,Caenorhabditis elegans,181492,,Decrease,Pro-Longevity
270,CELE_F56D5.5,Protein F56D5.5,Caenorhabditis elegans,177772,20,Increase,Anti-Longevity
271,F57B10.3,Protein F57B10.3,Caenorhabditis elegans,172376,20,Increase,Anti-Longevity
272,dct-18,"DAF-16/FOXO Controlled, germline Tumor affecting",Caenorhabditis elegans,174934,8,Decrease,Pro-Longevity
273,mrpl-24,Protein MRPL-24,Caenorhabditis elegans,172204,14,Increase,Anti-Longevity
274,CELE_F59B2.8,Protein F59B2.8,Caenorhabditis elegans,186593,,Decrease,Pro-Longevity
275,idh-1,Protein IDH-1,Caenorhabditis elegans,177775,,Increase,Anti-Longevity
276,exos-3,EXOSome (multiexonuclease complex) component,Caenorhabditis elegans,186604,12,Increase,Anti-Longevity
