File,Header,Description,Example
,targetName,The HGNC-approved full gene name ,SMG6 nonsense mediated mRNA decay factor
,biotype,"Biotype classification from Ensembl (note that all included targets are of the ""protein coding"" biotype)",protein coding
,maxLiteratureEvidencePhenotype,The morbidity with the highest literature evidence count for the target,heart disease
,maxLiteratureEvidenceCount,"The maximum literature evidence count for any morbidity. Literature evidence is at least one cooccurrence of the target with the morbidity within a sentence in a publication, as identified in the Europe PMC  corpus, see https://platform-docs.opentargets.org/evidence#europe-pmc ",4
,chronic obstructive pulmonary disease,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,glaucoma,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,hypertension,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,rheumatoid arthritis,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,obesity,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,age-related macular degeneration,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,heart disease,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,osteoporosis,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,chronic kidney disease,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,atherosclerosis,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,longevity,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,lipid measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,lean body mass,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,grip strength measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,cognitive decline measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,delirium,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,heel bone mineral density,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,adult onset asthma,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,chronic pain,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,alzheimers disease,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,type 2 diabetes,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,osteoarthritis,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,parkinsons disease,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,metabolic syndrome,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,adiponectin measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,gait measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,healthspan,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,stroke,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,idiopathic pulmonary fibrosis,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,frailty measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,lewy body dementia,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,cartilage thickness measurement,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,neurodegeneration,The overall Open Targets genetic association score between the target and the disease/trait (NA if no genetic evidence of association above the threshold),0.75
,HGNC,HGMC ID for the gene,17809
,PDB,Protein Data Bank IDs for available protein structures (comma-separated list string),"2DOK, 2HWW, 2HWX, 4UM2"
,GenAge.ID,GeneAge ID for the gene ,216
,GenAge.URL,URL for the GenAge entry for the gene,https://genomics.senescence.info/genes/entry.php?hgnc=ESR1
,CellAge.senescence_effect,"Effect of the gene on cellular senesence, as reported in CellAge (Induces or Inhibits)",Induces
,n_hallmarks,Total number of high-level hallmarks of ageing for which the target is associated,2
,goHallmarks,High-level hallmarks of ageing for which the target is associated (comma-separated string),"Epigenetic alteration, Nutrient signalling"
,goHallmarkTerms,Specific GO terms for the hallmarks of ageing for which the target is annotated (comma-separated string),"histone modification, response to nutrient levels"
,AB,"Tractability category for therapeutic antibody modality (H=high confidence, M/L=medium/low confidence)",Predicted_Tractable_(H)
,OC,Tractability category for other clinical modalities ,Predicted_Tractable
,PR,Tractability category for the Proteolysis Targeting Chimeras (PROTAC) modality ,Literature_Precedence
,SM,Tractability category for small molecule modality ,Discovery_Opportunity
,overallMultimorbidityCount,Overall number of morbidities for which the target has a genetic association score above 0.05 (rows 47-89),2
,,,
,,,
,,,
GWAS_study_ids.csv,studyId,ID for the GWAS analysis,GCST007516
,"Description of the trait studied, as reported in the publication","Description of the trait studied, as reported in the publication",Type 2 diabetes (adjusted for BMI)
,,,
,,,
,,,
all_traits_details.csv,diseaseId,EFO term id ,EFO_0004502
,diseaseName,EFO term name,adiponectin measurement
,specificDiseaseId,EFO term id corresponding to the GWAS,EFO_0007737
,specificDiseaseName,EFO term name corresponding to the GWAS,BMI-adjusted adiponectin measurement
,n_gwas_studies,Total number of GWAS studies mapped to the specificDiseaseId,1
,has_sumstats,Total number of GWAS studies mapped to the specificDiseaseId that have full summary statistics available,0
,n_variants,Total number of significant associations identified across all GWAS for the specificDiseaseId,7
,description,EFO term description ,Adiponection measurement that has been adjusted by subjects’ body mass index by performing linear regressions for adiponectin against BMI
,,,
Notes,,,
"1. ""Morbidity"" and ""disease"" refer to the high-level ageing-related disease or traits (see rows 47-79), while ""specificDisease"" refers to the specific EFO term mapped to the GWAS, which may be a child term of the morbidity/disease",,,
"3. For details on the sources of target information, see https://platform-docs.opentargets.org/target ",,,
"4. Each ""study"" is an individual analysis, an individual publication may contain multiple studies",,,
"5. All variants in Open Targets Genetics are notated using the format chr_pos_ref_alt, where ref and alt are the reference and alternate alleles as defined by Ensembl.  Coordinates are relative to the GRCh38 assembly also known as hg38.",,,
"6. Missing values are represented as ""NA""",,,
"7. Ancestry information (rows 25-26) cannot be represented in CSV format, refer to the .Rda format (R data object format) ",,,
