diseaseId,diseaseName,specificDiseaseId,specificDiseaseName,n_gwas_studies,has_sumstats,n_variants,description
EFO_0003777,heart disease,EFO_0005137,conduction system disorder,2,2,2,A disease involving the conducting system of heart.
EFO_0003777,heart disease,EFO_0005239,aortic valve calcification,2,0,5,Calcification of the aortic valve
EFO_0003777,heart disease,EFO_0005672,acute coronary syndrome,4,0,12,Signs and symptoms related to acute ischemia of the myocardium secondary to coronary artery disease. The clinical presentation covers a spectrum of heart diseases from unstable angina to myocardial infarction.
EFO_0003777,heart disease,EFO_0009275,premature cardiac contractions,1,0,1,A type of cardiac arrythmia with ventricular or atrial contractions that are initiated early by an ectopic site (outside of the sinoatrial node).
EFO_0003777,heart disease,EFO_0009276,ventricular ectopy,1,0,1,A type of cardiac arrhythmia with premature ventricular contractions or beats caused by signals originating from ectopic sites.
EFO_0003777,heart disease,EFO_0009277,supraventricular ectopy,2,0,2,A type of cardiac arrhythmia with premature atrial contractions or beats caused by signals originating from ectopic atrial sites.
EFO_0003777,heart disease,EFO_0009551,heart valve disease,2,2,5,A disease involving the cardial valve.
EFO_0003777,heart disease,EFO_1000985,intermediate coronary syndrome,2,2,12,"Angina pectoris (or equivalent type of ischemic discomfort) which has recently changed in frequency, duration, intensity, or occurs at rest."
EFO_0003777,heart disease,EFO_1001161,rheumatic heart disease,2,2,5,"An autoinflammatory condition following an infection with Group A Beta Hemolytic Streptococcus (GABHS), in which the heart is attacked by antibodies formed in reaction to a recent GABHS infection. Chief anatomic changes of the valve include leaflet thickening, commissural fusion, and shortening and thickening of the tendinous cords, all of which can result in valvular dysfunction."
EFO_0003777,heart disease,EFO_1001375,Myocardial Ischemia,3,3,84,"A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (coronary artery disease), to obstruction by a thrombus (coronary thrombosis), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (myocardial infarction)."
EFO_0003777,heart disease,EFO_1001493,cardiac embolism,1,0,2,an embolism that is a result of an obstruction in a cardiac vessel due to a blood clot or other foreign matters
EFO_0003777,heart disease,EFO_1001771,cardiac edema,1,1,26,"Abnormal fluid retention by the body due to impaired cardiac function or heart failure. It is usually characterized by increase in venous and capillary pressure, and swollen legs when standing. It is different from the generalized edema caused by renal dysfunction (NEPHROTIC SYNDROME)."
EFO_0003777,heart disease,MONDO_0000591,intrinsic cardiomyopathy,2,2,9,A cardiomyopathy that is due to abnormalities in heart muscle cells.
EFO_0003777,heart disease,MONDO_0001302,hypertensive heart disease,2,2,3,Abnormal enlargement of the heart resulting from long-standing hypertension.
EFO_0003777,heart disease,MONDO_0004596,cor pulmonale,3,3,21,"Hypertrophy and dilation of the right ventricle of the heart that is caused by pulmonary hypertension. This condition is often associated with pulmonary parenchymal or vascular diseases, such as chronic obstructive pulmonary disease and pulmonary embolism."
EFO_0003777,heart disease,MONDO_0021661,coronary atherosclerosis,3,3,97,Atherosclerosis of the coronary vasculature.
EFO_0009270,heel bone mineral density,EFO_0009270,heel bone mineral density,12,6,3704,Quantification of the mineral density of the heel bone
EFO_0000537,hypertension,EFO_0000537,hypertension,25,9,934,"Persistently high systemic arterial BLOOD PRESSURE. Based on multiple readings (BLOOD PRESSURE DETERMINATION), hypertension is currently defined as when SYSTOLIC PRESSURE is consistently greater than 140 mm Hg or when DIASTOLIC PRESSURE is consistently 90 mm Hg or more."
EFO_0000537,hypertension,EFO_0001361,pulmonary arterial hypertension,1,0,3,"Pulmonary arterial hypertension (PAH) is a group of diseases characterized by elevated pulmonary arterial resistance leading to right heart failure. PAH is progressive and potentially fatal. PAH may be idiopathic and/ or familial, or induced by drug or toxin (drug-or toxin-induced PAH) or associated with other diseases like congenital heart disease, connective tissue disease, HIV, schistosomiasis, portal hypertension (PAH associated with other disease)."
EFO_0000537,hypertension,EFO_1002032,primary hypertension,3,2,82,Hypertension that presents without an identifiable cause.
EFO_0000768,idiopathic pulmonary fibrosis,EFO_0000768,idiopathic pulmonary fibrosis,1,0,13,Idiopathic pulmonary fibrosis (IPF) is a nonneoplastic pulmonary disease that is characterized by the formation of scar tissue within the lungs in the absence of any known cause.
EFO_0004995,lean body mass,EFO_0004995,lean body mass,24,12,7421,The weight of all organs and tissue in an individual less the weight of the individual's body fat.
EFO_0006792,Lewy body dementia,EFO_0006792,Lewy body dementia,3,0,3,"A progressive form of dementia characterized by the presence of protein deposits called Lewy bodies in the midbrain and cerebral cortex, and loss of cholinergic and dopaminergic neurons. The signs and symptoms overlap with Alzheimer and Parkinson disease."
EFO_0004529,lipid measurement,EFO_0004529,lipid measurement,50,0,97,A measure of circulating lipid
EFO_0004529,lipid measurement,EFO_0004530,triglyceride measurement,144,3,1975,"A triglyceride  measurement is a quantification of triglycerides in some body fluid, used as a biomarker for cardiovascular disease."
EFO_0004529,lipid measurement,EFO_0004611,low density lipoprotein cholesterol measurement,103,4,2309,The measurement of LDL cholesterol in blood used as a risk indicator for heart disease.
EFO_0004529,lipid measurement,EFO_0004612,high density lipoprotein cholesterol measurement,132,3,2366,The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.
EFO_0004529,lipid measurement,EFO_0004622,sphingolipid measurement,13,0,22,Is a quantification of sphingolipids - molecules playing a role in signal transmission.
EFO_0004529,lipid measurement,EFO_0004639,phospholipid measurement,11,0,36,"Is a quantification of phospholipids, typically in blood used as a biomarker in diet studies."
EFO_0004529,lipid measurement,EFO_0005110,fatty acid measurement,20,0,34,The determination of the amount of fatty acids present in a sample.
EFO_0004529,lipid measurement,EFO_0005680,omega-6 polyunsaturated fatty acid measurement,9,0,15,The determination of the amount of omega-6 polyunsaturated fatty acids present in a sample.
EFO_0004529,lipid measurement,EFO_0006796,very long-chain saturated fatty acid measurement,3,0,7,The determination of the amount of very long-chain saturated fatty acids present in a sample. VLSFAs are fatty acids with 20 or more carbons.
EFO_0004529,lipid measurement,EFO_0006807,linoleic acid measurement,2,0,3,The determination of the amount of linoleic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0006808,arachidonic acid measurement,1,0,2,The determination of the amount of arachidonic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0006809,docosapentaenoic acid measurement,3,0,6,The determination of the amount of docosapentaenoic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0006810,oleic acid measurement,6,0,9,The determination of the amount of oleic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0006811,linolenic acid measurement,2,0,2,The determination of the amount of linolenic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0006821,trans fatty acid measurement,2,0,2,"The determination of the amount of trans fatty acids, a kind of unsaturated fatty acids, present in a sample."
EFO_0004529,lipid measurement,EFO_0006824,cis/trans-18:2 fatty acid measurement,1,0,1,"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, with the first one in cis configuration and the 2nd one in trans configuration, present in a sample."
EFO_0004529,lipid measurement,EFO_0006826,trans/trans-18:2 fatty acid measurement,1,0,1,"The determination of the amount of trans fatty acids with 18 carbons and 2 double bonds, both of which are in trans configuration, present in a sample."
EFO_0004529,lipid measurement,EFO_0007630,glycerophospholipid measurement,35,0,38,"Is a quantification, typically in blood, of glycerophospholipids, a group of glycerol-based phospholipids"
EFO_0004529,lipid measurement,EFO_0007759,alpha-linolenic acid measurement,1,0,8,The determination of the amount of alpha-linolenic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0007760,eicosapentaenoic acid measurement,1,0,2,The determination of the amount of eicosapentaenoic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0007761,docosahexaenoic acid measurement,3,0,5,The determination of the amount of docosahexaenoic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0007804,LDL cholesterol change measurement,6,0,19,"quantification of the change in LDL cholesterol levels in an individual over time, eg over the course of several hours after a high-fat meal or following treatment with a cholesterol-lowering drug"
EFO_0004529,lipid measurement,EFO_0007805,HDL cholesterol change measurement,5,0,46,"quantification of the change in HDL cholesterol levels in an individual over time, eg over the course of several hours after a high-fat meal or following treatment with a cholesterol-lowering drug"
EFO_0004529,lipid measurement,EFO_0007929,triglyceride:HDL cholesterol ratio,1,0,2,quantification of the ratio of  triglyceride to HDL cholesterol in a sample
EFO_0004529,lipid measurement,EFO_0007930,LDL cholesterol:HDL cholesterol ratio,1,0,2,quantification of the ratio of LDL cholesterol to HDL cholesterol in a sample
EFO_0004529,lipid measurement,EFO_0007931,non-HDL cholesterol:HDL cholesterol ratio,1,0,1,quantification of the ratio of non-HDL cholesterol to HDL cholesterol in a sample
EFO_0004529,lipid measurement,EFO_0007973,palmitoleic acid measurement,1,0,4,The determination of the amount of palmitoleic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0007974,vaccenic acid measurement,2,0,4,The determination of the amount of vaccenic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0007975,gondoic acid measurement,2,0,3,The determination of the amount of gondoic acid present in a sample.
EFO_0004529,lipid measurement,EFO_0008317,very low density lipoprotein cholesterol measurement,29,0,51,quantification of the amount of very low density lipoprotein cholesterol in a sample
EFO_0004529,lipid measurement,EFO_0008350,alpha-linoleic acid measurement,1,0,1,quantification of the amount of alpha-linoleic acid in a sample
EFO_0004529,lipid measurement,EFO_0008359,eicosadienoic acid measurement,1,0,1,quantification of the amount of eicosadienoic acid in a sample
EFO_0004529,lipid measurement,EFO_0010118,sphingomyelin measurement,6,0,10,A quantification of sphingomyeline in a sample.
EFO_0004529,lipid measurement,EFO_0010222,ceramide measurement,7,0,9,A quantification of ceramides.
EFO_0004529,lipid measurement,EFO_0010224,lysophosphatidylcholine measurement,5,0,6,A quantification of lysophosphatidylcholines.
EFO_0004529,lipid measurement,EFO_0010225,lysophosphatidylethanolamine measurement,3,0,5,A quantification of lysophosphatidylethanolamines.
EFO_0004529,lipid measurement,EFO_0010226,phosphatidylcholine measurement,16,0,24,A quantification of phosphatidylcholines.
EFO_0004529,lipid measurement,EFO_0010227,phosphatidylcholine ether measurement,8,0,9,A quantification of phosphatidylcholine ethers.
EFO_0004529,lipid measurement,EFO_0010228,phosphatidylethanolamine measurement,3,0,4,A quantification of phosphatidylethanolamines.
EFO_0004529,lipid measurement,EFO_0010229,phosphatidylethanolamine ether measurement,3,0,4,A quantification of phosphatidylethanolamine ethers.
EFO_0004529,lipid measurement,EFO_0010230,phosphatidylinositol measurement,5,0,9,A quantification of phosphatidylinositols.
EFO_0004529,lipid measurement,EFO_0010340,cholesteryl ester 14:0 measurement,1,0,1,The quantification of cholesteryl ester 14:0 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010341,cholesteryl ester 16:0 measurement,1,0,3,The quantification of cholesteryl ester 16:0 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010346,cholesteryl ester 18:3 measurement,1,0,2,The quantification of cholesteryl ester 18:3 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010348,cholesteryl ester 20:4 measurement,1,0,2,The quantification of cholesteryl ester 20:4 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010349,cholesteryl ester 20:5 measurement,1,0,1,The quantification of cholesteryl ester 20:5 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010353,diacylglycerol 34:2 measurement,1,0,1,The quantification of diacylglycerol 34:2 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010354,diacylglycerol 36:1 measurement,1,0,2,The quantification of diacylglycerol 36:1 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010355,diacylglycerol 36:2 measurement,1,0,1,The quantification of diacylglycerol 36:2 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010362,lysophosphatidylcholine 20:3 measurement,1,0,1,The quantification of lysophosphatidylcholine 20:3 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010363,lysophosphatidylcholine 20:4 measurement,1,0,1,The quantification of lysophosphatidylcholine 20:4 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010364,lysophosphatidylcholine 20:5 measurement,1,0,1,The quantification of lysophosphatidylcholine 20:5 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010365,lysophosphatidylcholine 22:6 measurement,1,0,1,The quantification of lysophosphatidylcholine 22:6 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010366,lysophosphatidylethanolamine 16:0 measurement,1,0,2,The quantification of lysophosphatidylethanolamine 16:0 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010367,lysophosphatidylethanolamine 18:0 measurement,1,0,1,The quantification of lysophosphatidylethanolamine 18:0 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010369,lysophosphatidylethanolamine 18:2 measurement,1,0,1,The quantification of lysophosphatidylethanolamine 18:2 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010370,lysophosphatidylethanolamine 20:4 measurement,1,0,2,The quantification of lysophosphatidylethanolamine 20:4 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010373,phosphatidylcholine 32:1 measurement,1,0,1,The quantification of phosphatidylcholine 32:1 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010374,phosphatidylcholine 32:2 measurement,1,0,1,The quantification of phosphatidylcholine 32:2 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010376,phosphatidylcholine 34:2 measurement,1,0,1,The quantification of phosphatidylcholine 34:2 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010377,phosphatidylcholine 34:3 measurement,1,0,2,The quantification of phosphatidylcholine 34:3 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010382,phosphatidylcholine 36:4 measurement,1,0,2,The quantification of phosphatidylcholine 36:4 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010386,phosphatidylcholine 38:4 measurement,1,0,2,The quantification of phosphatidylcholine 38:4 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010387,phosphatidylcholine 38:5 measurement,1,0,2,The quantification of phosphatidylcholine 38:5 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010389,phosphatidylcholine 40:6 measurement,1,0,1,The quantification of phosphatidylcholine 40:6 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010390,sphingomyelin 14:0 measurement,1,0,3,The quantification of sphingomyelin 14:0 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010398,sphingomyelin 24:1 measurement,1,0,2,The quantification of sphingomyelin 24:1 levels in a sample.
EFO_0004529,lipid measurement,EFO_0010405,triacylglycerol 48:2 measurement,1,0,1,"The quantification of triacylglycerol 48:2 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010406,triacylglycerol 48:3 measurement,1,0,1,"The quantification of triacylglycerol 48:3 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010410,triacylglycerol 50:3 measurement,1,0,1,"The quantification of triacylglycerol 50:3 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010411,triacylglycerol 50:4 measurement,1,0,1,"The quantification of triacylglycerol 50:4 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010414,triacylglycerol 52:2 measurement,1,0,1,"The quantification of triacylglycerol 52:2 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010416,triacylglycerol 52:4 measurement,1,0,1,"The quantification of triacylglycerol 52:4 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010417,triacylglycerol 52:5 measurement,1,0,1,"The quantification of triacylglycerol 52:5 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010420,triacylglycerol 54:2 measurement,1,0,1,"The quantification of triacylglycerol 54:2 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010421,triacylglycerol 54:3 measurement,1,0,1,"The quantification of triacylglycerol 54:3 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010422,triacylglycerol 54:4 measurement,1,0,1,"The quantification of triacylglycerol 54:4 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010423,triacylglycerol 54:5 measurement,1,0,2,"The quantification of triacylglycerol 54:5 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010428,triacylglycerol 56:10 measurement,1,0,1,"The quantification of triacylglycerol 56:10 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010430,triacylglycerol 56:3 measurement,1,0,1,"The quantification of triacylglycerol 56:3 levels in some body fluid, used as a biomarker for disease."
EFO_0004529,lipid measurement,EFO_0010437,triacylglycerol 58:10 measurement,2,0,2,"The quantification of triacylglycerol 58:10 levels in some body fluid, used as a biomarker for disease."
EFO_0004300,longevity,EFO_0004300,longevity,10,0,47,The  length of time of an organism's life.
EFO_0004300,longevity,EFO_0007796,parental longevity,15,8,113,"length of an individual's parents' life, either taken individually (paternal or maternal longevity) or in combination and sometimes used as an indicator of an individual longevity"
EFO_0000195,metabolic syndrome,EFO_0000195,metabolic syndrome,14,0,126,"A cluster of metabolic risk factors for CARDIOVASCULAR DISEASES and TYPE 2 DIABETES MELLITUS. The major components of metabolic syndrome X include excess ABDOMINAL FAT; atherogenic DYSLIPIDEMIA; HYPERTENSION; HYPERGLYCEMIA; INSULIN RESISTANCE; a proinflammatory state; and a prothrombotic (THROMBOSIS) state. (from AHA/NHLBI/ADA Conference Proceedings, Circulation 2004; 109:551-556)"
HP_0002180,Neurodegeneration,HP_0002180,Neurodegeneration,,,,Progressive loss of neural cells and tissue.
EFO_0001073,obesity,EFO_0001073,obesity,21,8,137,A disorder involving an excessive amount of body fat.
EFO_0002506,osteoarthritis,EFO_0002506,osteoarthritis,15,8,101,"A noninflammatory degenerative joint disease occurring chiefly in older persons, characterised by degeneration of the articular cartilage, hypertrophy of bone at the margins and changes in the synovial membrane. It is accompanied by pain and stiffness, particularly after prolonged activity."
